away_team,home_team,game,minimum_line,away_expected,home_expected,total_expected,game_tempo,simulations,hits,mc_probability,avg_simulated_total,std_simulated_total,percentile_5,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95,mc_decision,confidence_level,flag_count,floor_safe,away_ortg,away_drtg,home_ortg,home_drtg,odds,vegas_total,risk_flags
Boston Celtics,Minnesota Timberwolves,Boston Celtics @ Minnesota Timberwolves,207.5,132.2,134.8,267.0,98.6,10000,9988,99.88,263.8,18.1,232.9,240.0,252.0,276.5,286.9,292.7,MAYBE,MULTI_FLAG_HIGH,2,True,119.6,114.9,117.6,112.9,-770,222.5,🐢 Boston Celtics slow pace (96.0); 🔄 Pace mismatch (4.5 difference)
Toronto Raptors,Charlotte Hornets,Toronto Raptors @ Charlotte Hornets,208.5,142.2,130.4,272.6,100.0,10000,9990,99.9,268.9,18.2,236.9,244.3,256.8,281.8,291.7,297.7,MAYBE,FLAG_CAUTION,1,True,118.2,111.6,115.5,121.1,-940,223.5,🚗🛡️ Road team good defense (111.6 DRtg)
Chicago Bulls,Indiana Pacers,Chicago Bulls @ Indiana Pacers,221.5,138.8,130.8,269.6,102.0,10000,9902,99.02,266.3,18.4,234.6,241.9,253.7,279.7,289.9,295.4,MAYBE,MULTI_FLAG_HIGH,2,True,115.9,118.7,106.8,118.3,-740,236.5,🎲 Indiana Pacers high variance (±12.0); 📉 Indiana Pacers weak offense (ORtg: 106.8)
Brooklyn Nets,Milwaukee Bucks,Brooklyn Nets @ Milwaukee Bucks,201.5,129.1,140.8,269.9,99.0,10000,9998,99.98,266.3,17.5,235.6,242.2,254.7,279.1,287.8,292.6,MAYBE,MULTI_FLAG_HIGH,2,True,112.0,122.8,114.5,117.3,-830,216.5,🐢 Brooklyn Nets slow pace (97.5); 🎲 Milwaukee Bucks high variance (±12.6)
Detroit Pistons,Miami Heat,Detroit Pistons @ Miami Heat,217.5,132.8,134.4,267.2,102.3,10000,9890,98.9,263.9,19.2,231.1,238.5,251.1,277.8,288.2,294.1,MAYBE,MULTI_FLAG_HIGH,4,True,118.2,111.8,116.2,110.7,-790,232.5,🎲 Miami Heat high variance (±13.5); 🛡️🛡️ BOTH teams good defense (111.8 & 110.7 DRtg); 🔄 Pace mismatch (4.8 difference); 🚗🛡️ Road team good defense (111.8 DRtg)
New Orleans Pelicans,Golden State Warriors,New Orleans Pelicans @ Golden State Warriors,203.5,125.3,141.0,266.3,99.7,10000,9989,99.89,262.8,19.1,230.1,237.8,250.0,276.6,287.4,293.0,MAYBE,FLAG_CAUTION,1,True,111.4,122.4,114.3,113.7,-870,218.5,🎲 New Orleans Pelicans high variance (±13.2)
Denver Nuggets,Phoenix Suns,Denver Nuggets @ Phoenix Suns,211.5,138.5,134.5,273.1,99.2,10000,9993,99.93,269.9,16.7,240.8,247.6,258.9,281.5,290.7,296.1,MAYBE,FLAG_CAUTION,1,True,124.3,114.3,117.3,113.1,-840,226.5,🐢🐢 Both teams below avg pace (99.0 & 99.0)
Dallas Mavericks,Los Angeles Clippers,Dallas Mavericks @ Los Angeles Clippers,199.5,126.0,128.5,254.5,99.6,10000,9943,99.43,251.7,20.2,218.4,225.4,237.7,265.9,277.8,284.5,MAYBE,MULTI_FLAG_HIGH,6,True,105.4,111.1,114.8,121.0,-900,214.5,🐢 Los Angeles Clippers slow pace (96.6); 🎲 Dallas Mavericks high variance (±13.0); 🎲 Los Angeles Clippers high variance (±12.7); 🔄 Pace mismatch (5.7 difference); 📉 Dallas Mavericks weak offense (ORtg: 105.4); 🚗🛡️ Road team good defense (111.1 DRtg)
