game_time,away_team,home_team,game,minimum_total,minimum_odds,decision,confidence,score,confidence_level,action,stake,reasoning,full_factors
2025-12-03 20:11:00-05:00,Detroit Pistons,Milwaukee Bucks,Detroit Pistons @ Milwaukee Bucks,209.5,-840,YES,88,88,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 116.2) | Fast pace (100.2) | Both teams neutral form,"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 116.2)', 'ortg': np.float64(116.25)}, 'pace': {'away_pace': np.float64(101.0), 'home_pace': np.float64(99.4), 'projected_pace': np.float64(100.2), 'pace_score': 25, 'reason': 'Fast pace (100.2)'}, 'form': {'away_form': {'team': 'Detroit Pistons', 'last_6_scores': [114.0, 114.0, 111.0, 111.0, 135.0, 135.0], 'avg_last_6': np.float64(120.0), 'season_ppg': np.float64(118.8), 'diff': np.float64(1.2), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Milwaukee Bucks', 'last_6_scores': [100.0, 100.0, 103.0, 103.0, 133.0, 133.0], 'avg_last_6': np.float64(112.0), 'season_ppg': np.float64(116.0), 'diff': np.float64(-4.0), 'is_hot': False, 'trend': 'COOL', 'form_score': 5}, 'combined_score': 8, 'reason': 'Both teams neutral form'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (25.3 pts above minimum)', 'buffer': np.float64(25.30000000000001)}, 'rest': {'away_rest': {'team': 'Detroit Pistons', 'game_date': Timestamp('2025-12-03 20:11:00'), 'last_game_date': Timestamp('2025-12-01 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Milwaukee Bucks', 'game_date': Timestamp('2025-12-03 20:11:00'), 'last_game_date': Timestamp('2025-12-01 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-12-03 19:40:00-05:00,Charlotte Hornets,New York Knicks,Charlotte Hornets @ New York Knicks,214.5,-810,YES,85,85,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 118.5) | Above average pace (98.9) | Both teams hot (WARM/HOT),"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 118.5)', 'ortg': np.float64(118.5)}, 'pace': {'away_pace': np.float64(99.1), 'home_pace': np.float64(98.7), 'projected_pace': np.float64(98.9), 'pace_score': 15, 'reason': 'Above average pace (98.9)'}, 'form': {'away_form': {'team': 'Charlotte Hornets', 'last_6_scores': [118.0, 118.0, 101.0, 101.0, 136.0, 136.0], 'avg_last_6': np.float64(118.3), 'season_ppg': np.float64(115.2), 'diff': np.float64(3.1), 'is_hot': True, 'trend': 'WARM', 'form_score': 12}, 'home_form': {'team': 'New York Knicks', 'last_6_scores': [129.0, 129.0, 137.0, 137.0, 119.0, 119.0], 'avg_last_6': np.float64(128.3), 'season_ppg': np.float64(120.3), 'diff': np.float64(8.0), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'combined_score': 20, 'reason': 'Both teams hot (WARM/HOT)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (21.0 pts above minimum)', 'buffer': np.float64(21.0)}, 'rest': {'away_rest': {'team': 'Charlotte Hornets', 'game_date': Timestamp('2025-12-03 19:40:00'), 'last_game_date': Timestamp('2025-12-01 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'New York Knicks', 'game_date': Timestamp('2025-12-03 19:40:00'), 'last_game_date': Timestamp('2025-12-02 00:00:00'), 'rest_days': 1, 'is_b2b': True, 'fatigue_level': 'B2B'}, 'combined_score': 5, 'reason': 'New York Knicks on back-to-back'}}"
2025-12-03 19:10:00-05:00,San Antonio Spurs,Orlando Magic,San Antonio Spurs @ Orlando Magic,211.5,-870,YES,83,83,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 118.8) | Fast pace (100.0) | Both teams neutral form,"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 118.8)', 'ortg': np.float64(118.8)}, 'pace': {'away_pace': np.float64(99.3), 'home_pace': np.float64(100.7), 'projected_pace': np.float64(100.0), 'pace_score': 25, 'reason': 'Fast pace (100.0)'}, 'form': {'away_form': {'team': 'San Antonio Spurs', 'last_6_scores': [115.0, 115.0, 116.0, 116.0, 125.0, 125.0], 'avg_last_6': np.float64(118.7), 'season_ppg': np.float64(119.2), 'diff': np.float64(-0.5), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Orlando Magic', 'last_6_scores': [124.0, 124.0, 125.0, 125.0, 116.0, 116.0], 'avg_last_6': np.float64(121.7), 'season_ppg': np.float64(119.5), 'diff': np.float64(2.2), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 8, 'reason': 'Both teams neutral form'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (27.2 pts above minimum)', 'buffer': np.float64(27.19999999999999)}, 'rest': {'away_rest': {'team': 'San Antonio Spurs', 'game_date': Timestamp('2025-12-03 19:10:00'), 'last_game_date': Timestamp('2025-12-02 00:00:00'), 'rest_days': 1, 'is_b2b': True, 'fatigue_level': 'B2B'}, 'home_rest': {'team': 'Orlando Magic', 'game_date': Timestamp('2025-12-03 19:10:00'), 'last_game_date': Timestamp('2025-12-01 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 5, 'reason': 'San Antonio Spurs on back-to-back'}}"
2025-12-03 19:10:00-05:00,Portland Trail Blazers,Cleveland Cavaliers,Portland Trail Blazers @ Cleveland Cavaliers,218.5,-740,YES,82,82,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 116.3) | Fast pace (101.7) | Portland Trail Blazers hot (HOT),"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 116.3)', 'ortg': np.float64(116.35)}, 'pace': {'away_pace': np.float64(102.2), 'home_pace': np.float64(101.1), 'projected_pace': np.float64(101.6), 'pace_score': 25, 'reason': 'Fast pace (101.7)'}, 'form': {'away_form': {'team': 'Portland Trail Blazers', 'last_6_scores': [121.0, 121.0, 114.0, 114.0, 136.0, 136.0], 'avg_last_6': np.float64(123.7), 'season_ppg': np.float64(118.2), 'diff': np.float64(5.5), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'home_form': {'team': 'Cleveland Cavaliers', 'last_6_scores': [132.0, 132.0, 111.0, 111.0, 105.0, 105.0], 'avg_last_6': np.float64(116.0), 'season_ppg': np.float64(119.5), 'diff': np.float64(-3.5), 'is_hot': False, 'trend': 'COOL', 'form_score': 5}, 'combined_score': 12, 'reason': 'Portland Trail Blazers hot (HOT)'}, 'buffer': {'score': 10, 'reason': 'Good buffer (19.2 pts above minimum)', 'buffer': np.float64(19.19999999999999)}, 'rest': {'away_rest': {'team': 'Portland Trail Blazers', 'game_date': Timestamp('2025-12-03 19:10:00'), 'last_game_date': Timestamp('2025-12-02 00:00:00'), 'rest_days': 1, 'is_b2b': True, 'fatigue_level': 'B2B'}, 'home_rest': {'team': 'Cleveland Cavaliers', 'game_date': Timestamp('2025-12-03 19:10:00'), 'last_game_date': Timestamp('2025-12-01 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 5, 'reason': 'Portland Trail Blazers on back-to-back'}}"
2025-12-03 20:10:00-05:00,Sacramento Kings,Houston Rockets,Sacramento Kings @ Houston Rockets,208.5,-870,YES,82,82,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 116.7) | Above average pace (99.1) | Sacramento Kings hot (WARM),"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 116.7)', 'ortg': np.float64(116.69999999999999)}, 'pace': {'away_pace': np.float64(101.4), 'home_pace': np.float64(96.7), 'projected_pace': np.float64(99.1), 'pace_score': 15, 'reason': 'Above average pace (99.1)'}, 'form': {'away_form': {'team': 'Sacramento Kings', 'last_6_scores': [121.0, 121.0, 116.0, 116.0, 113.0, 113.0], 'avg_last_6': np.float64(116.7), 'season_ppg': np.float64(111.8), 'diff': np.float64(4.9), 'is_hot': True, 'trend': 'WARM', 'form_score': 12}, 'home_form': {'team': 'Houston Rockets', 'last_6_scores': [104.0, 104.0, 124.0, 124.0, 139.0, 139.0], 'avg_last_6': np.float64(122.3), 'season_ppg': np.float64(121.8), 'diff': np.float64(0.5), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 12, 'reason': 'Sacramento Kings hot (WARM)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (25.1 pts above minimum)', 'buffer': np.float64(25.099999999999994)}, 'rest': {'away_rest': {'team': 'Sacramento Kings', 'game_date': Timestamp('2025-12-03 20:10:00'), 'last_game_date': Timestamp('2025-11-30 00:00:00'), 'rest_days': 3, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'home_rest': {'team': 'Houston Rockets', 'game_date': Timestamp('2025-12-03 20:10:00'), 'last_game_date': Timestamp('2025-12-01 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (3+ days)'}}"
2025-12-03 19:40:00-05:00,Los Angeles Clippers,Atlanta Hawks,Los Angeles Clippers @ Atlanta Hawks,206.5,-830,MAYBE,72,72,MEDIUM,REVIEW MANUALLY,2% bankroll (if you bet),Strong offense (avg ORtg: 114.7) | Above average pace (99.5) | Atlanta Hawks hot (WARM),"{'offensive_power': {'score': 20, 'reason': 'Strong offense (avg ORtg: 114.7)', 'ortg': np.float64(114.65)}, 'pace': {'away_pace': np.float64(97.5), 'home_pace': np.float64(101.4), 'projected_pace': np.float64(99.4), 'pace_score': 15, 'reason': 'Above average pace (99.5)'}, 'form': {'away_form': {'team': 'Los Angeles Clippers', 'last_6_scores': [79.0, 79.0, 116.0, 116.0, 108.0, 108.0], 'avg_last_6': np.float64(101.0), 'season_ppg': np.float64(112.3), 'diff': np.float64(-11.3), 'is_hot': False, 'trend': 'COLD', 'form_score': 0}, 'home_form': {'team': 'Atlanta Hawks', 'last_6_scores': [133.0, 133.0, 118.0, 118.0, 117.0, 117.0], 'avg_last_6': np.float64(122.7), 'season_ppg': np.float64(118.0), 'diff': np.float64(4.7), 'is_hot': True, 'trend': 'WARM', 'form_score': 12}, 'combined_score': 12, 'reason': 'Atlanta Hawks hot (WARM)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (23.8 pts above minimum)', 'buffer': np.float64(23.80000000000001)}, 'rest': {'away_rest': {'team': 'Los Angeles Clippers', 'game_date': Timestamp('2025-12-03 19:40:00'), 'last_game_date': Timestamp('2025-12-01 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Atlanta Hawks', 'game_date': Timestamp('2025-12-03 19:40:00'), 'last_game_date': Timestamp('2025-12-01 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-12-03 19:10:00-05:00,Denver Nuggets,Indiana Pacers,Denver Nuggets @ Indiana Pacers,213.5,-820,MAYBE,70,70,MEDIUM,REVIEW MANUALLY,2% bankroll (if you bet),Elite offense (avg ORtg: 116.7) | Above average pace (99.9) | Strong buffer (21.3 pts above minimum),"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 116.7)', 'ortg': np.float64(116.7)}, 'pace': {'away_pace': np.float64(98.8), 'home_pace': np.float64(101.0), 'projected_pace': np.float64(99.9), 'pace_score': 15, 'reason': 'Above average pace (99.9)'}, 'form': {'away_form': {'team': 'Denver Nuggets', 'last_6_scores': [125.0, 125.0, 122.0, 122.0, 122.0, 122.0], 'avg_last_6': np.float64(123.0), 'season_ppg': np.float64(124.6), 'diff': np.float64(-1.6), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Indiana Pacers', 'last_6_scores': [95.0, 95.0, 103.0, 103.0, 105.0, 105.0], 'avg_last_6': np.float64(101.0), 'season_ppg': np.float64(110.2), 'diff': np.float64(-9.2), 'is_hot': False, 'trend': 'COLD', 'form_score': 0}, 'combined_score': 0, 'reason': 'Indiana Pacers cold (scoring slump)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (21.3 pts above minimum)', 'buffer': np.float64(21.30000000000001)}, 'rest': {'away_rest': {'team': 'Denver Nuggets', 'game_date': Timestamp('2025-12-03 19:10:00'), 'last_game_date': Timestamp('2025-12-01 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Indiana Pacers', 'game_date': Timestamp('2025-12-03 19:10:00'), 'last_game_date': Timestamp('2025-12-01 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-12-03 20:10:00-05:00,Brooklyn Nets,Chicago Bulls,Brooklyn Nets @ Chicago Bulls,210.5,-840,NO,67,67,LOW,SKIP,0%,Above-avg offense (avg ORtg: 113.2) | Fast pace (100.4) | Brooklyn Nets hot (WARM),"{'offensive_power': {'score': 10, 'reason': 'Above-avg offense (avg ORtg: 113.2)', 'ortg': np.float64(113.25)}, 'pace': {'away_pace': np.float64(97.4), 'home_pace': np.float64(103.4), 'projected_pace': np.float64(100.4), 'pace_score': 25, 'reason': 'Fast pace (100.4)'}, 'form': {'away_form': {'team': 'Brooklyn Nets', 'last_6_scores': [112.0, 112.0, 117.0, 117.0, 112.0, 112.0], 'avg_last_6': np.float64(113.7), 'season_ppg': np.float64(108.8), 'diff': np.float64(4.9), 'is_hot': True, 'trend': 'WARM', 'form_score': 12}, 'home_form': {'team': 'Chicago Bulls', 'last_6_scores': [122.0, 122.0, 115.0, 115.0, 126.0, 126.0], 'avg_last_6': np.float64(121.0), 'season_ppg': np.float64(120.0), 'diff': np.float64(1.0), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 12, 'reason': 'Brooklyn Nets hot (WARM)'}, 'buffer': {'score': 10, 'reason': 'Good buffer (18.3 pts above minimum)', 'buffer': np.float64(18.30000000000001)}, 'rest': {'away_rest': {'team': 'Brooklyn Nets', 'game_date': Timestamp('2025-12-03 20:10:00'), 'last_game_date': Timestamp('2025-12-01 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Chicago Bulls', 'game_date': Timestamp('2025-12-03 20:10:00'), 'last_game_date': Timestamp('2025-12-01 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-12-03 20:30:00-05:00,Miami Heat,Dallas Mavericks,Miami Heat @ Dallas Mavericks,219.5,-720,NO,55,55,LOW,SKIP,0%,Above-avg offense (avg ORtg: 112.3) | Fast pace (103.8) | Good buffer (15.9 pts above minimum),"{'offensive_power': {'score': 10, 'reason': 'Above-avg offense (avg ORtg: 112.3)', 'ortg': np.float64(112.35)}, 'pace': {'away_pace': np.float64(105.5), 'home_pace': np.float64(102.0), 'projected_pace': np.float64(103.8), 'pace_score': 25, 'reason': 'Fast pace (103.8)'}, 'form': {'away_form': {'team': 'Miami Heat', 'last_6_scores': [106.0, 106.0, 112.0, 112.0, 121.0, 121.0], 'avg_last_6': np.float64(113.0), 'season_ppg': np.float64(124.3), 'diff': np.float64(-11.3), 'is_hot': False, 'trend': 'COLD', 'form_score': 0}, 'home_form': {'team': 'Dallas Mavericks', 'last_6_scores': [99.0, 99.0, 92.0, 92.0, 107.0, 107.0], 'avg_last_6': np.float64(99.3), 'season_ppg': np.float64(111.1), 'diff': np.float64(-11.8), 'is_hot': False, 'trend': 'COLD', 'form_score': 0}, 'combined_score': 0, 'reason': 'Miami Heat cold (scoring slump)'}, 'buffer': {'score': 10, 'reason': 'Good buffer (15.9 pts above minimum)', 'buffer': np.float64(15.899999999999977)}, 'rest': {'away_rest': {'team': 'Miami Heat', 'game_date': Timestamp('2025-12-03 20:30:00'), 'last_game_date': Timestamp('2025-12-01 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Dallas Mavericks', 'game_date': Timestamp('2025-12-03 20:30:00'), 'last_game_date': Timestamp('2025-12-01 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
