game_time,away_team,home_team,game,minimum_total,minimum_odds,decision,confidence,score,confidence_level,action,stake,reasoning,full_factors
2025-11-05 00:40:00+00:00,Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks @ Toronto Raptors,215.5,-830,YES,88,88,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 118.4) | Fast pace (102.2) | Both teams neutral form,"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 118.4)', 'ortg': np.float64(118.44999999999999)}, 'pace': {'away_pace': np.float64(102.2), 'home_pace': np.float64(102.2), 'projected_pace': np.float64(102.2), 'pace_score': 25, 'reason': 'Fast pace (102.2)'}, 'form': {'away_form': {'team': 'Milwaukee Bucks', 'last_6_scores': [117.0, 133.0, 113.0, 120.0, 121.0, 133.0], 'avg_last_6': np.float64(122.8), 'season_ppg': np.float64(122.7), 'diff': np.float64(0.1), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Toronto Raptors', 'last_6_scores': [112.0, 103.0, 117.0, 129.0, 138.0, 121.0], 'avg_last_6': np.float64(120.0), 'season_ppg': np.float64(119.4), 'diff': np.float64(0.6), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 8, 'reason': 'Both teams neutral form'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (26.6 pts above minimum)', 'buffer': np.float64(26.600000000000023)}, 'rest': {'away_rest': {'team': 'Milwaukee Bucks', 'game_date': Timestamp('2025-11-05 00:40:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Toronto Raptors', 'game_date': Timestamp('2025-11-05 00:40:00'), 'last_game_date': Timestamp('2025-11-02 00:00:00'), 'rest_days': 3, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-11-05 01:10:00+00:00,Philadelphia 76ers,Chicago Bulls,Philadelphia 76ers @ Chicago Bulls,218.5,-730,YES,88,88,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 121.6) | Fast pace (100.8) | Both teams neutral form,"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 121.6)', 'ortg': np.float64(121.6)}, 'pace': {'away_pace': np.float64(100.3), 'home_pace': np.float64(101.4), 'projected_pace': np.float64(100.8), 'pace_score': 25, 'reason': 'Fast pace (100.8)'}, 'form': {'away_form': {'team': 'Philadelphia 76ers', 'last_6_scores': [108.0, 136.0, 125.0, 129.0, 139.0, 117.0], 'avg_last_6': np.float64(125.7), 'season_ppg': np.float64(125.7), 'diff': np.float64(-0.0), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Chicago Bulls', 'last_6_scores': [135.0, 128.0, 110.0, 116.0, 115.0, 126.0], 'avg_last_6': np.float64(121.7), 'season_ppg': np.float64(121.7), 'diff': np.float64(-0.0), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 8, 'reason': 'Both teams neutral form'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (28.9 pts above minimum)', 'buffer': np.float64(28.900000000000006)}, 'rest': {'away_rest': {'team': 'Philadelphia 76ers', 'game_date': Timestamp('2025-11-05 01:10:00'), 'last_game_date': Timestamp('2025-11-02 00:00:00'), 'rest_days': 3, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'home_rest': {'team': 'Chicago Bulls', 'game_date': Timestamp('2025-11-05 01:10:00'), 'last_game_date': Timestamp('2025-11-02 00:00:00'), 'rest_days': 3, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'combined_score': 10, 'reason': 'Both teams rested (3+ days)'}}"
2025-11-05 03:10:00+00:00,Phoenix Suns,Golden State Warriors,Phoenix Suns @ Golden State Warriors,211.5,-990,MAYBE,78,78,MEDIUM,REVIEW MANUALLY,2% bankroll (if you bet),Strong offense (avg ORtg: 115.2) | Fast pace (100.8) | Both teams neutral form,"{'offensive_power': {'score': 20, 'reason': 'Strong offense (avg ORtg: 115.2)', 'ortg': np.float64(115.2)}, 'pace': {'away_pace': np.float64(101.2), 'home_pace': np.float64(100.5), 'projected_pace': np.float64(100.8), 'pace_score': 25, 'reason': 'Fast pace (100.8)'}, 'form': {'away_form': {'team': 'Phoenix Suns', 'last_6_scores': [118.0, 134.0, 111.0, 130.0, 120.0, 113.0], 'avg_last_6': np.float64(121.0), 'season_ppg': np.float64(118.3), 'diff': np.float64(2.7), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Golden State Warriors', 'last_6_scores': [131.0, 109.0, 137.0, 110.0, 119.0, 98.0], 'avg_last_6': np.float64(117.3), 'season_ppg': np.float64(117.6), 'diff': np.float64(-0.3), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 8, 'reason': 'Both teams neutral form'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (24.4 pts above minimum)', 'buffer': np.float64(24.399999999999977)}, 'rest': {'away_rest': {'team': 'Phoenix Suns', 'game_date': Timestamp('2025-11-05 03:10:00'), 'last_game_date': Timestamp('2025-11-02 00:00:00'), 'rest_days': 3, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'home_rest': {'team': 'Golden State Warriors', 'game_date': Timestamp('2025-11-05 03:10:00'), 'last_game_date': Timestamp('2025-11-01 00:00:00'), 'rest_days': 4, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'combined_score': 10, 'reason': 'Both teams rested (3+ days)'}}"
2025-11-05 04:10:00+00:00,Oklahoma City Thunder,Los Angeles Clippers,Oklahoma City Thunder @ Los Angeles Clippers,199.5,-980,MAYBE,75,75,MEDIUM,REVIEW MANUALLY,2% bankroll (if you bet),Elite offense (avg ORtg: 117.2) | Average pace (97.2) | Oklahoma City Thunder hot (WARM),"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 117.2)', 'ortg': np.float64(117.15)}, 'pace': {'away_pace': np.float64(97.7), 'home_pace': np.float64(96.8), 'projected_pace': np.float64(97.2), 'pace_score': 8, 'reason': 'Average pace (97.2)'}, 'form': {'away_form': {'team': 'Oklahoma City Thunder', 'last_6_scores': [117.0, 137.0, 141.0, 127.0, 125.0, 107.0], 'avg_last_6': np.float64(125.7), 'season_ppg': np.float64(122.1), 'diff': np.float64(3.6), 'is_hot': True, 'trend': 'WARM', 'form_score': 12}, 'home_form': {'team': 'Los Angeles Clippers', 'last_6_scores': [129.0, 126.0, 119.0, 114.0, 79.0, 108.0], 'avg_last_6': np.float64(112.5), 'season_ppg': np.float64(112.5), 'diff': np.float64(0.0), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 12, 'reason': 'Oklahoma City Thunder hot (WARM)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (35.1 pts above minimum)', 'buffer': np.float64(35.099999999999994)}, 'rest': {'away_rest': {'team': 'Oklahoma City Thunder', 'game_date': Timestamp('2025-11-05 04:10:00'), 'last_game_date': Timestamp('2025-11-02 00:00:00'), 'rest_days': 3, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'home_rest': {'team': 'Los Angeles Clippers', 'game_date': Timestamp('2025-11-05 04:10:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (3+ days)'}}"
2025-11-05 01:10:00+00:00,Orlando Magic,Atlanta Hawks,Orlando Magic @ Atlanta Hawks,207.5,-850,NO,68,68,LOW,SKIP,0%,Above-avg offense (avg ORtg: 113.0) | Fast pace (102.7) | Both teams neutral form,"{'offensive_power': {'score': 10, 'reason': 'Above-avg offense (avg ORtg: 113.0)', 'ortg': np.float64(113.0)}, 'pace': {'away_pace': np.float64(102.9), 'home_pace': np.float64(102.4), 'projected_pace': np.float64(102.6), 'pace_score': 25, 'reason': 'Fast pace (102.7)'}, 'form': {'away_form': {'team': 'Orlando Magic', 'last_6_scores': [124.0, 125.0, 98.0, 123.0, 125.0, 116.0], 'avg_last_6': np.float64(118.5), 'season_ppg': np.float64(116.9), 'diff': np.float64(1.6), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Atlanta Hawks', 'last_6_scores': [128.0, 123.0, 100.0, 109.0, 118.0, 117.0], 'avg_last_6': np.float64(115.8), 'season_ppg': np.float64(115.1), 'diff': np.float64(0.7), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 8, 'reason': 'Both teams neutral form'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (24.5 pts above minimum)', 'buffer': np.float64(24.5)}, 'rest': {'away_rest': {'team': 'Orlando Magic', 'game_date': Timestamp('2025-11-05 01:10:00'), 'last_game_date': Timestamp('2025-11-01 00:00:00'), 'rest_days': 4, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'home_rest': {'team': 'Atlanta Hawks', 'game_date': Timestamp('2025-11-05 01:10:00'), 'last_game_date': Timestamp('2025-11-02 00:00:00'), 'rest_days': 3, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'combined_score': 10, 'reason': 'Both teams rested (4+ days)'}}"
2025-11-05 01:10:00+00:00,Charlotte Hornets,New Orleans Pelicans,Charlotte Hornets @ New Orleans Pelicans,211.5,-860,NO,53,53,LOW,SKIP,0%,Above-avg offense (avg ORtg: 113.9) | Above average pace (99.7) | Both teams neutral form,"{'offensive_power': {'score': 10, 'reason': 'Above-avg offense (avg ORtg: 113.9)', 'ortg': np.float64(113.9)}, 'pace': {'away_pace': np.float64(101.7), 'home_pace': np.float64(97.7), 'projected_pace': np.float64(99.7), 'pace_score': 15, 'reason': 'Above average pace (99.7)'}, 'form': {'away_form': {'team': 'Charlotte Hornets', 'last_6_scores': [121.0, 126.0, 139.0, 107.0, 117.0, 136.0], 'avg_last_6': np.float64(124.3), 'season_ppg': np.float64(121.6), 'diff': np.float64(2.7), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'New Orleans Pelicans', 'last_6_scores': [116.0, 124.0, 90.0, 106.0, 122.0, 88.0], 'avg_last_6': np.float64(107.7), 'season_ppg': np.float64(107.7), 'diff': np.float64(-0.0), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 8, 'reason': 'Both teams neutral form'}, 'buffer': {'score': 10, 'reason': 'Good buffer (17.8 pts above minimum)', 'buffer': np.float64(17.80000000000001)}, 'rest': {'away_rest': {'team': 'Charlotte Hornets', 'game_date': Timestamp('2025-11-05 01:10:00'), 'last_game_date': Timestamp('2025-11-02 00:00:00'), 'rest_days': 3, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'home_rest': {'team': 'New Orleans Pelicans', 'game_date': Timestamp('2025-11-05 01:10:00'), 'last_game_date': Timestamp('2025-11-02 00:00:00'), 'rest_days': 3, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'combined_score': 10, 'reason': 'Both teams rested (3+ days)'}}"
