game_time,away_team,home_team,game,minimum_total,minimum_odds,original_confidence,mc_probability,mc_decision,mc_level,avg_simulated_total,std_simulated_total,percentile_5,percentile_95,risk_factors,flags,injuries,flag
2025-11-28 19:40:00-05:00,Cleveland Cavaliers,Atlanta Hawks,Cleveland Cavaliers @ Atlanta Hawks,218.5,-790,87,84.25,MAYBE,MEDIUM,236.1,17.5,207.8,264.7,['🎲 Cleveland Cavaliers high variance (±12.8 PPG)'],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.True_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",
2025-11-28 19:40:00-05:00,Philadelphia 76ers,Brooklyn Nets,Philadelphia 76ers @ Brooklyn Nets,206.5,-790,72,81.69,MAYBE,MEDIUM,219.9,15.0,195.5,245.1,['🐢 Brooklyn Nets slow pace (97.5)'],"{'slow_pace_game': np.True_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.False_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",
2025-11-28 19:40:00-05:00,Chicago Bulls,Charlotte Hornets,Chicago Bulls @ Charlotte Hornets,226.5,-680,84,74.01,LEAN_NO,LOW,237.4,16.8,210.0,265.8,[],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.False_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",⚠️ DOWNGRADED: MC found hidden risk (variance/pace/defense)
2025-11-28 19:40:00-05:00,Orlando Magic,Detroit Pistons,Orlando Magic @ Detroit Pistons,215.5,-790,92,93.16,STRONG_YES,VERY HIGH,239.3,16.3,212.6,266.4,[],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.False_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",
2025-11-28 19:40:00-05:00,Washington Wizards,Indiana Pacers,Washington Wizards @ Indiana Pacers,219.5,-720,43,60.25,NO,VERY LOW,224.5,17.4,196.6,253.4,[],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.False_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",
2025-11-28 19:40:00-05:00,Milwaukee Bucks,New York Knicks,Milwaukee Bucks @ New York Knicks,213.5,-770,78,89.9,YES,HIGH,236.8,18.3,207.2,267.1,['🎲 Milwaukee Bucks high variance (±12.8 PPG)'],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.True_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",
2025-11-28 21:40:00-05:00,San Antonio Spurs,Denver Nuggets,San Antonio Spurs @ Denver Nuggets,215.5,-990,78,98.34,STRONG_YES,VERY HIGH,242.1,12.5,221.7,262.6,[],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.False_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",
2025-11-28 21:40:00-05:00,Phoenix Suns,Oklahoma City Thunder,Phoenix Suns @ Oklahoma City Thunder,206.5,-990,78,96.11,STRONG_YES,VERY HIGH,234.9,16.6,208.0,262.1,['🛡️ Oklahoma City Thunder elite defense (DRtg: 104.0)'],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.True_, 'both_elite_defense': np.False_, 'high_variance_game': np.False_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",
2025-11-28 21:40:00-05:00,Sacramento Kings,Utah Jazz,Sacramento Kings @ Utah Jazz,217.5,-900,62,73.39,LEAN_NO,LOW,230.7,20.6,197.0,265.3,['🎲 Utah Jazz high variance (±17.1 PPG)'],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.True_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",
2025-11-28 22:10:00-05:00,Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks @ Los Angeles Lakers,208.5,-820,45,85.56,YES,HIGH,228.4,18.5,198.5,259.8,['🎲 Dallas Mavericks high variance (±13.1 PPG)'],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.True_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",📈 UPGRADED: MC shows safer than original estimate
2025-11-28 22:10:00-05:00,Memphis Grizzlies,Los Angeles Clippers,Memphis Grizzlies @ Los Angeles Clippers,206.5,-820,57,73.29,LEAN_NO,LOW,217.9,17.5,189.8,247.9,"['🎲 Los Angeles Clippers high variance (±13.0 PPG)', '🐢 Los Angeles Clippers slow pace (96.6)']","{'slow_pace_game': np.True_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.True_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",
