game_time,away_team,home_team,game,minimum_total,minimum_odds,decision,confidence,score,confidence_level,action,stake,reasoning,full_factors
2025-11-22 17:10:00-05:00,New York Knicks,Orlando Magic,New York Knicks @ Orlando Magic,207.5,-820,YES,92,92,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 118.8) | Fast pace (100.1) | Orlando Magic hot (HOT),"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 118.8)', 'ortg': np.float64(118.75)}, 'pace': {'away_pace': np.float64(99.6), 'home_pace': np.float64(100.6), 'projected_pace': np.float64(100.1), 'pace_score': 25, 'reason': 'Fast pace (100.1)'}, 'form': {'away_form': {'team': 'New York Knicks', 'last_6_scores': [113.0, 113.0, 137.0, 137.0, 119.0, 119.0], 'avg_last_6': np.float64(123.0), 'season_ppg': np.float64(122.1), 'diff': np.float64(0.9), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Orlando Magic', 'last_6_scores': [124.0, 124.0, 125.0, 125.0, 116.0, 116.0], 'avg_last_6': np.float64(121.7), 'season_ppg': np.float64(115.7), 'diff': np.float64(6.0), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'combined_score': 12, 'reason': 'Orlando Magic hot (HOT)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (30.3 pts above minimum)', 'buffer': np.float64(30.30000000000001)}, 'rest': {'away_rest': {'team': 'New York Knicks', 'game_date': Timestamp('2025-11-22 17:10:00'), 'last_game_date': Timestamp('2025-11-19 00:00:00'), 'rest_days': 3, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'home_rest': {'team': 'Orlando Magic', 'game_date': Timestamp('2025-11-22 17:10:00'), 'last_game_date': Timestamp('2025-11-20 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (3+ days)'}}"
2025-11-22 20:10:00-05:00,Detroit Pistons,Milwaukee Bucks,Detroit Pistons @ Milwaukee Bucks,201.5,-820,YES,88,88,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 116.8) | Fast pace (100.5) | Both teams neutral form,"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 116.8)', 'ortg': np.float64(116.75)}, 'pace': {'away_pace': np.float64(100.8), 'home_pace': np.float64(100.3), 'projected_pace': np.float64(100.6), 'pace_score': 25, 'reason': 'Fast pace (100.5)'}, 'form': {'away_form': {'team': 'Detroit Pistons', 'last_6_scores': [114.0, 114.0, 111.0, 111.0, 135.0, 135.0], 'avg_last_6': np.float64(120.0), 'season_ppg': np.float64(118.2), 'diff': np.float64(1.8), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Milwaukee Bucks', 'last_6_scores': [121.0, 121.0, 100.0, 100.0, 133.0, 133.0], 'avg_last_6': np.float64(118.0), 'season_ppg': np.float64(118.4), 'diff': np.float64(-0.4), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 8, 'reason': 'Both teams neutral form'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (35.1 pts above minimum)', 'buffer': np.float64(35.10000000000002)}, 'rest': {'away_rest': {'team': 'Detroit Pistons', 'game_date': Timestamp('2025-11-22 20:10:00'), 'last_game_date': Timestamp('2025-11-18 00:00:00'), 'rest_days': 4, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'home_rest': {'team': 'Milwaukee Bucks', 'game_date': Timestamp('2025-11-22 20:10:00'), 'last_game_date': Timestamp('2025-11-20 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (4+ days)'}}"
2025-11-22 22:10:00-05:00,Sacramento Kings,Denver Nuggets,Sacramento Kings @ Denver Nuggets,215.5,-710,YES,87,87,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 117.3) | Fast pace (100.8) | Sacramento Kings hot (WARM),"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 117.3)', 'ortg': np.float64(117.35)}, 'pace': {'away_pace': np.float64(102.5), 'home_pace': np.float64(99.2), 'projected_pace': np.float64(100.8), 'pace_score': 25, 'reason': 'Fast pace (100.8)'}, 'form': {'away_form': {'team': 'Sacramento Kings', 'last_6_scores': [121.0, 121.0, 116.0, 116.0, 113.0, 113.0], 'avg_last_6': np.float64(116.7), 'season_ppg': np.float64(113.2), 'diff': np.float64(3.5), 'is_hot': True, 'trend': 'WARM', 'form_score': 12}, 'home_form': {'team': 'Denver Nuggets', 'last_6_scores': [125.0, 125.0, 122.0, 122.0, 122.0, 122.0], 'avg_last_6': np.float64(123.0), 'season_ppg': np.float64(124.4), 'diff': np.float64(-1.4), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 12, 'reason': 'Sacramento Kings hot (WARM)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (22.1 pts above minimum)', 'buffer': np.float64(22.100000000000023)}, 'rest': {'away_rest': {'team': 'Sacramento Kings', 'game_date': Timestamp('2025-11-22 22:10:00'), 'last_game_date': Timestamp('2025-11-20 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Denver Nuggets', 'game_date': Timestamp('2025-11-22 22:10:00'), 'last_game_date': Timestamp('2025-11-21 00:00:00'), 'rest_days': 1, 'is_b2b': True, 'fatigue_level': 'B2B'}, 'combined_score': 5, 'reason': 'Denver Nuggets on back-to-back'}}"
2025-11-22 13:10:00-05:00,Los Angeles Clippers,Charlotte Hornets,Los Angeles Clippers @ Charlotte Hornets,205.5,-830,NO,65,65,LOW,SKIP,0%,Strong offense (avg ORtg: 115.2) | Average pace (98.0) | Charlotte Hornets hot (WARM),"{'offensive_power': {'score': 20, 'reason': 'Strong offense (avg ORtg: 115.2)', 'ortg': np.float64(115.25)}, 'pace': {'away_pace': np.float64(96.4), 'home_pace': np.float64(99.5), 'projected_pace': np.float64(98.0), 'pace_score': 8, 'reason': 'Average pace (98.0)'}, 'form': {'away_form': {'team': 'Los Angeles Clippers', 'last_6_scores': [79.0, 79.0, 116.0, 116.0, 108.0, 108.0], 'avg_last_6': np.float64(101.0), 'season_ppg': np.float64(111.5), 'diff': np.float64(-10.5), 'is_hot': False, 'trend': 'COLD', 'form_score': 0}, 'home_form': {'team': 'Charlotte Hornets', 'last_6_scores': [111.0, 111.0, 118.0, 118.0, 136.0, 136.0], 'avg_last_6': np.float64(121.7), 'season_ppg': np.float64(117.2), 'diff': np.float64(4.5), 'is_hot': True, 'trend': 'WARM', 'form_score': 12}, 'combined_score': 12, 'reason': 'Charlotte Hornets hot (WARM)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (23.2 pts above minimum)', 'buffer': np.float64(23.19999999999999)}, 'rest': {'away_rest': {'team': 'Los Angeles Clippers', 'game_date': Timestamp('2025-11-22 13:10:00'), 'last_game_date': Timestamp('2025-11-20 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Charlotte Hornets', 'game_date': Timestamp('2025-11-22 13:10:00'), 'last_game_date': Timestamp('2025-11-19 00:00:00'), 'rest_days': 3, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-11-22 19:10:00-05:00,Atlanta Hawks,New Orleans Pelicans,Atlanta Hawks @ New Orleans Pelicans,208.5,-860,NO,52,52,LOW,SKIP,0%,Above-avg offense (avg ORtg: 112.5) | Above average pace (99.7) | Atlanta Hawks hot (HOT),"{'offensive_power': {'score': 10, 'reason': 'Above-avg offense (avg ORtg: 112.5)', 'ortg': np.float64(112.55)}, 'pace': {'away_pace': np.float64(101.8), 'home_pace': np.float64(97.6), 'projected_pace': np.float64(99.7), 'pace_score': 15, 'reason': 'Above average pace (99.7)'}, 'form': {'away_form': {'team': 'Atlanta Hawks', 'last_6_scores': [133.0, 133.0, 118.0, 118.0, 117.0, 117.0], 'avg_last_6': np.float64(122.7), 'season_ppg': np.float64(117.1), 'diff': np.float64(5.6), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'home_form': {'team': 'New Orleans Pelicans', 'last_6_scores': [101.0, 101.0, 122.0, 122.0, 88.0, 88.0], 'avg_last_6': np.float64(103.7), 'season_ppg': np.float64(108.4), 'diff': np.float64(-4.7), 'is_hot': False, 'trend': 'COOL', 'form_score': 5}, 'combined_score': 12, 'reason': 'Atlanta Hawks hot (HOT)'}, 'buffer': {'score': 10, 'reason': 'Good buffer (17.0 pts above minimum)', 'buffer': np.float64(17.0)}, 'rest': {'away_rest': {'team': 'Atlanta Hawks', 'game_date': Timestamp('2025-11-22 19:10:00'), 'last_game_date': Timestamp('2025-11-20 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'New Orleans Pelicans', 'game_date': Timestamp('2025-11-22 19:10:00'), 'last_game_date': Timestamp('2025-11-21 00:00:00'), 'rest_days': 1, 'is_b2b': True, 'fatigue_level': 'B2B'}, 'combined_score': 5, 'reason': 'New Orleans Pelicans on back-to-back'}}"
2025-11-22 20:40:00-05:00,Memphis Grizzlies,Dallas Mavericks,Memphis Grizzlies @ Dallas Mavericks,205.5,-830,NO,52,52,LOW,SKIP,0%,Fast pace (102.6) | Memphis Grizzlies hot (HOT) | Good buffer (15.6 pts above minimum),"{'offensive_power': {'score': 0, 'reason': 'Weak offense (avg ORtg: 106.9) - RED FLAG', 'ortg': np.float64(106.94999999999999)}, 'pace': {'away_pace': np.float64(102.4), 'home_pace': np.float64(102.8), 'projected_pace': np.float64(102.6), 'pace_score': 25, 'reason': 'Fast pace (102.6)'}, 'form': {'away_form': {'team': 'Memphis Grizzlies', 'last_6_scores': [109.0, 109.0, 128.0, 128.0, 114.0, 114.0], 'avg_last_6': np.float64(117.0), 'season_ppg': np.float64(111.9), 'diff': np.float64(5.1), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'home_form': {'team': 'Dallas Mavericks', 'last_6_scores': [99.0, 99.0, 92.0, 92.0, 107.0, 107.0], 'avg_last_6': np.float64(99.3), 'season_ppg': np.float64(109.2), 'diff': np.float64(-9.9), 'is_hot': False, 'trend': 'COLD', 'form_score': 0}, 'combined_score': 12, 'reason': 'Memphis Grizzlies hot (HOT)'}, 'buffer': {'score': 10, 'reason': 'Good buffer (15.6 pts above minimum)', 'buffer': np.float64(15.600000000000023)}, 'rest': {'away_rest': {'team': 'Memphis Grizzlies', 'game_date': Timestamp('2025-11-22 20:40:00'), 'last_game_date': Timestamp('2025-11-20 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Dallas Mavericks', 'game_date': Timestamp('2025-11-22 20:40:00'), 'last_game_date': Timestamp('2025-11-21 00:00:00'), 'rest_days': 1, 'is_b2b': True, 'fatigue_level': 'B2B'}, 'combined_score': 5, 'reason': 'Dallas Mavericks on back-to-back'}}"
2025-11-22 20:10:00-05:00,Washington Wizards,Chicago Bulls,Washington Wizards @ Chicago Bulls,221.5,-750,NO,50,50,LOW,SKIP,0%,Above-avg offense (avg ORtg: 112.3) | Fast pace (102.4) | Both teams neutral form,"{'offensive_power': {'score': 10, 'reason': 'Above-avg offense (avg ORtg: 112.3)', 'ortg': np.float64(112.35)}, 'pace': {'away_pace': np.float64(102.8), 'home_pace': np.float64(102.1), 'projected_pace': np.float64(102.4), 'pace_score': 25, 'reason': 'Fast pace (102.4)'}, 'form': {'away_form': {'team': 'Washington Wizards', 'last_6_scores': [109.0, 109.0, 107.0, 107.0, 120.0, 120.0], 'avg_last_6': np.float64(112.0), 'season_ppg': np.float64(113.5), 'diff': np.float64(-1.5), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Chicago Bulls', 'last_6_scores': [122.0, 122.0, 115.0, 115.0, 126.0, 126.0], 'avg_last_6': np.float64(121.0), 'season_ppg': np.float64(118.6), 'diff': np.float64(2.4), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 8, 'reason': 'Both teams neutral form'}, 'buffer': {'score': 7, 'reason': 'Moderate buffer (10.6 pts above minimum)', 'buffer': np.float64(10.599999999999994)}, 'rest': {'away_rest': {'team': 'Washington Wizards', 'game_date': Timestamp('2025-11-22 20:10:00'), 'last_game_date': Timestamp('2025-11-21 00:00:00'), 'rest_days': 1, 'is_b2b': True, 'fatigue_level': 'B2B'}, 'home_rest': {'team': 'Chicago Bulls', 'game_date': Timestamp('2025-11-22 20:10:00'), 'last_game_date': Timestamp('2025-11-21 00:00:00'), 'rest_days': 1, 'is_b2b': True, 'fatigue_level': 'B2B'}, 'combined_score': 0, 'reason': 'Both teams on back-to-back (fatigued)'}}"
