game_time,away_team,home_team,game,minimum_total,minimum_odds,decision,confidence,score,confidence_level,action,stake,reasoning,full_factors
2025-11-18 23:10:00-05:00,Phoenix Suns,Portland Trail Blazers,Phoenix Suns @ Portland Trail Blazers,215.5,-850,YES,92,92,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 118.1) | Fast pace (100.8) | Portland Trail Blazers hot (WARM),"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 118.1)', 'ortg': np.float64(118.1)}, 'pace': {'away_pace': np.float64(98.8), 'home_pace': np.float64(102.9), 'projected_pace': np.float64(100.8), 'pace_score': 25, 'reason': 'Fast pace (100.8)'}, 'form': {'away_form': {'team': 'Phoenix Suns', 'last_6_scores': [123.0, 123.0, 120.0, 120.0, 113.0, 113.0], 'avg_last_6': np.float64(118.7), 'season_ppg': np.float64(118.5), 'diff': np.float64(0.2), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Portland Trail Blazers', 'last_6_scores': [121.0, 121.0, 114.0, 114.0, 136.0, 136.0], 'avg_last_6': np.float64(123.7), 'season_ppg': np.float64(120.6), 'diff': np.float64(3.1), 'is_hot': True, 'trend': 'WARM', 'form_score': 12}, 'combined_score': 12, 'reason': 'Portland Trail Blazers hot (WARM)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (23.6 pts above minimum)', 'buffer': np.float64(23.599999999999994)}, 'rest': {'away_rest': {'team': 'Phoenix Suns', 'game_date': Timestamp('2025-11-18 23:10:00'), 'last_game_date': Timestamp('2025-11-16 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Portland Trail Blazers', 'game_date': Timestamp('2025-11-18 23:10:00'), 'last_game_date': Timestamp('2025-11-16 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-11-18 19:10:00-05:00,Golden State Warriors,Orlando Magic,Golden State Warriors @ Orlando Magic,201.5,-810,YES,82,82,HIGH,BET IT,3% bankroll,Strong offense (avg ORtg: 114.3) | Fast pace (100.5) | Orlando Magic hot (HOT),"{'offensive_power': {'score': 20, 'reason': 'Strong offense (avg ORtg: 114.3)', 'ortg': np.float64(114.35)}, 'pace': {'away_pace': np.float64(100.4), 'home_pace': np.float64(100.6), 'projected_pace': np.float64(100.5), 'pace_score': 25, 'reason': 'Fast pace (100.5)'}, 'form': {'away_form': {'team': 'Golden State Warriors', 'last_6_scores': [98.0, 98.0, 125.0, 125.0, 116.0, 116.0], 'avg_last_6': np.float64(113.0), 'season_ppg': np.float64(115.1), 'diff': np.float64(-2.1), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Orlando Magic', 'last_6_scores': [124.0, 124.0, 125.0, 125.0, 116.0, 116.0], 'avg_last_6': np.float64(121.7), 'season_ppg': np.float64(115.7), 'diff': np.float64(6.0), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'combined_score': 12, 'reason': 'Orlando Magic hot (HOT)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (29.3 pts above minimum)', 'buffer': np.float64(29.30000000000001)}, 'rest': {'away_rest': {'team': 'Golden State Warriors', 'game_date': Timestamp('2025-11-18 19:10:00'), 'last_game_date': Timestamp('2025-11-16 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Orlando Magic', 'game_date': Timestamp('2025-11-18 19:10:00'), 'last_game_date': Timestamp('2025-11-16 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-11-18 20:10:00-05:00,Detroit Pistons,Atlanta Hawks,Detroit Pistons @ Atlanta Hawks,207.5,-800,MAYBE,77,77,MEDIUM,REVIEW MANUALLY,2% bankroll (if you bet),Strong offense (avg ORtg: 115.7) | Fast pace (101.3) | Atlanta Hawks hot (HOT),"{'offensive_power': {'score': 20, 'reason': 'Strong offense (avg ORtg: 115.7)', 'ortg': np.float64(115.65)}, 'pace': {'away_pace': np.float64(100.8), 'home_pace': np.float64(101.8), 'projected_pace': np.float64(101.3), 'pace_score': 25, 'reason': 'Fast pace (101.3)'}, 'form': {'away_form': {'team': 'Detroit Pistons', 'last_6_scores': [114.0, 114.0, 111.0, 111.0, 135.0, 135.0], 'avg_last_6': np.float64(120.0), 'season_ppg': np.float64(118.2), 'diff': np.float64(1.8), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Atlanta Hawks', 'last_6_scores': [133.0, 133.0, 118.0, 118.0, 117.0, 117.0], 'avg_last_6': np.float64(122.7), 'season_ppg': np.float64(117.1), 'diff': np.float64(5.6), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'combined_score': 12, 'reason': 'Atlanta Hawks hot (HOT)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (27.8 pts above minimum)', 'buffer': np.float64(27.80000000000001)}, 'rest': {'away_rest': {'team': 'Detroit Pistons', 'game_date': Timestamp('2025-11-18 20:10:00'), 'last_game_date': Timestamp('2025-11-17 00:00:00'), 'rest_days': 1, 'is_b2b': True, 'fatigue_level': 'B2B'}, 'home_rest': {'team': 'Atlanta Hawks', 'game_date': Timestamp('2025-11-18 20:10:00'), 'last_game_date': Timestamp('2025-11-16 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 5, 'reason': 'Detroit Pistons on back-to-back'}}"
2025-11-18 22:40:00-05:00,Utah Jazz,Los Angeles Lakers,Utah Jazz @ Los Angeles Lakers,216.5,-820,MAYBE,77,77,MEDIUM,REVIEW MANUALLY,2% bankroll (if you bet),Strong offense (avg ORtg: 115.6) | Fast pace (100.2) | Utah Jazz hot (HOT),"{'offensive_power': {'score': 20, 'reason': 'Strong offense (avg ORtg: 115.6)', 'ortg': np.float64(115.6)}, 'pace': {'away_pace': np.float64(100.9), 'home_pace': np.float64(99.5), 'projected_pace': np.float64(100.2), 'pace_score': 25, 'reason': 'Fast pace (100.2)'}, 'form': {'away_form': {'team': 'Utah Jazz', 'last_6_scores': [103.0, 103.0, 129.0, 129.0, 134.0, 134.0], 'avg_last_6': np.float64(122.0), 'season_ppg': np.float64(116.3), 'diff': np.float64(5.7), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'home_form': {'team': 'Los Angeles Lakers', 'last_6_scores': [92.0, 92.0, 118.0, 118.0, 116.0, 116.0], 'avg_last_6': np.float64(108.7), 'season_ppg': np.float64(116.3), 'diff': np.float64(-7.6), 'is_hot': False, 'trend': 'COLD', 'form_score': 0}, 'combined_score': 12, 'reason': 'Utah Jazz hot (HOT)'}, 'buffer': {'score': 10, 'reason': 'Good buffer (16.1 pts above minimum)', 'buffer': np.float64(16.099999999999994)}, 'rest': {'away_rest': {'team': 'Utah Jazz', 'game_date': Timestamp('2025-11-18 22:40:00'), 'last_game_date': Timestamp('2025-11-16 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Los Angeles Lakers', 'game_date': Timestamp('2025-11-18 22:40:00'), 'last_game_date': Timestamp('2025-11-15 00:00:00'), 'rest_days': 3, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-11-18 19:40:00-05:00,Boston Celtics,Brooklyn Nets,Boston Celtics @ Brooklyn Nets,201.5,-880,MAYBE,73,73,MEDIUM,REVIEW MANUALLY,2% bankroll (if you bet),Strong offense (avg ORtg: 114.2) | Average pace (97.3) | Both teams hot (HOT/WARM),"{'offensive_power': {'score': 20, 'reason': 'Strong offense (avg ORtg: 114.2)', 'ortg': np.float64(114.15)}, 'pace': {'away_pace': np.float64(96.3), 'home_pace': np.float64(98.4), 'projected_pace': np.float64(97.4), 'pace_score': 8, 'reason': 'Average pace (97.3)'}, 'form': {'away_form': {'team': 'Boston Celtics', 'last_6_scores': [136.0, 136.0, 116.0, 116.0, 125.0, 125.0], 'avg_last_6': np.float64(125.7), 'season_ppg': np.float64(113.2), 'diff': np.float64(12.5), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'home_form': {'team': 'Brooklyn Nets', 'last_6_scores': [112.0, 112.0, 117.0, 117.0, 112.0, 112.0], 'avg_last_6': np.float64(113.7), 'season_ppg': np.float64(108.9), 'diff': np.float64(4.8), 'is_hot': True, 'trend': 'WARM', 'form_score': 12}, 'combined_score': 20, 'reason': 'Both teams hot (HOT/WARM)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (20.6 pts above minimum)', 'buffer': np.float64(20.600000000000023)}, 'rest': {'away_rest': {'team': 'Boston Celtics', 'game_date': Timestamp('2025-11-18 19:40:00'), 'last_game_date': Timestamp('2025-11-16 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Brooklyn Nets', 'game_date': Timestamp('2025-11-18 19:40:00'), 'last_game_date': Timestamp('2025-11-16 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-11-18 20:10:00-05:00,Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies @ San Antonio Spurs,211.5,-800,NO,67,67,LOW,SKIP,0%,Above-avg offense (avg ORtg: 113.8) | Fast pace (100.8) | Memphis Grizzlies hot (HOT),"{'offensive_power': {'score': 10, 'reason': 'Above-avg offense (avg ORtg: 113.8)', 'ortg': np.float64(113.75)}, 'pace': {'away_pace': np.float64(102.4), 'home_pace': np.float64(99.3), 'projected_pace': np.float64(100.8), 'pace_score': 25, 'reason': 'Fast pace (100.8)'}, 'form': {'away_form': {'team': 'Memphis Grizzlies', 'last_6_scores': [109.0, 109.0, 128.0, 128.0, 114.0, 114.0], 'avg_last_6': np.float64(117.0), 'season_ppg': np.float64(111.9), 'diff': np.float64(5.1), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'home_form': {'team': 'San Antonio Spurs', 'last_6_scores': [120.0, 120.0, 116.0, 116.0, 125.0, 125.0], 'avg_last_6': np.float64(120.3), 'season_ppg': np.float64(118.4), 'diff': np.float64(1.9), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 12, 'reason': 'Memphis Grizzlies hot (HOT)'}, 'buffer': {'score': 10, 'reason': 'Good buffer (18.8 pts above minimum)', 'buffer': np.float64(18.80000000000001)}, 'rest': {'away_rest': {'team': 'Memphis Grizzlies', 'game_date': Timestamp('2025-11-18 20:10:00'), 'last_game_date': Timestamp('2025-11-15 00:00:00'), 'rest_days': 3, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'home_rest': {'team': 'San Antonio Spurs', 'game_date': Timestamp('2025-11-18 20:10:00'), 'last_game_date': Timestamp('2025-11-16 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (3+ days)'}}"
