game_time,away_team,home_team,game,minimum_total,minimum_odds,decision,confidence,score,confidence_level,action,stake,reasoning,full_factors
2025-11-23 19:10:00-05:00,Portland Trail Blazers,Oklahoma City Thunder,Portland Trail Blazers @ Oklahoma City Thunder,213.5,-790,YES,92,92,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 118.2) | Fast pace (101.0) | Portland Trail Blazers hot (WARM),"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 118.2)', 'ortg': np.float64(118.2)}, 'pace': {'away_pace': np.float64(102.9), 'home_pace': np.float64(99.0), 'projected_pace': np.float64(101.0), 'pace_score': 25, 'reason': 'Fast pace (101.0)'}, 'form': {'away_form': {'team': 'Portland Trail Blazers', 'last_6_scores': [121.0, 121.0, 114.0, 114.0, 136.0, 136.0], 'avg_last_6': np.float64(123.7), 'season_ppg': np.float64(120.6), 'diff': np.float64(3.1), 'is_hot': True, 'trend': 'WARM', 'form_score': 12}, 'home_form': {'team': 'Oklahoma City Thunder', 'last_6_scores': [121.0, 121.0, 113.0, 113.0, 119.0, 119.0], 'avg_last_6': np.float64(117.7), 'season_ppg': np.float64(121.6), 'diff': np.float64(-3.9), 'is_hot': False, 'trend': 'COOL', 'form_score': 5}, 'combined_score': 12, 'reason': 'Portland Trail Blazers hot (WARM)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (28.7 pts above minimum)', 'buffer': np.float64(28.69999999999999)}, 'rest': {'away_rest': {'team': 'Portland Trail Blazers', 'game_date': Timestamp('2025-11-23 19:10:00'), 'last_game_date': Timestamp('2025-11-21 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Oklahoma City Thunder', 'game_date': Timestamp('2025-11-23 19:10:00'), 'last_game_date': Timestamp('2025-11-21 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-11-23 18:10:00-05:00,Orlando Magic,Boston Celtics,Orlando Magic @ Boston Celtics,199.5,-820,YES,85,85,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 116.2) | Above average pace (98.4) | Both teams hot (HOT/HOT),"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 116.2)', 'ortg': np.float64(116.25)}, 'pace': {'away_pace': np.float64(100.6), 'home_pace': np.float64(96.3), 'projected_pace': np.float64(98.4), 'pace_score': 15, 'reason': 'Above average pace (98.4)'}, 'form': {'away_form': {'team': 'Orlando Magic', 'last_6_scores': [124.0, 124.0, 125.0, 125.0, 116.0, 116.0], 'avg_last_6': np.float64(121.7), 'season_ppg': np.float64(115.7), 'diff': np.float64(6.0), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'home_form': {'team': 'Boston Celtics', 'last_6_scores': [136.0, 136.0, 116.0, 116.0, 125.0, 125.0], 'avg_last_6': np.float64(125.7), 'season_ppg': np.float64(113.2), 'diff': np.float64(12.5), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'combined_score': 20, 'reason': 'Both teams hot (HOT/HOT)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (29.4 pts above minimum)', 'buffer': np.float64(29.400000000000006)}, 'rest': {'away_rest': {'team': 'Orlando Magic', 'game_date': Timestamp('2025-11-23 18:10:00'), 'last_game_date': Timestamp('2025-11-22 00:00:00'), 'rest_days': 1, 'is_b2b': True, 'fatigue_level': 'B2B'}, 'home_rest': {'team': 'Boston Celtics', 'game_date': Timestamp('2025-11-23 18:10:00'), 'last_game_date': Timestamp('2025-11-21 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 5, 'reason': 'Orlando Magic on back-to-back'}}"
2025-11-23 13:10:00-05:00,Miami Heat,Philadelphia 76ers,Miami Heat @ Philadelphia 76ers,218.5,-770,YES,80,80,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 118.0) | Fast pace (102.7) | Strong buffer (26.1 pts above minimum),"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 118.0)', 'ortg': np.float64(118.05)}, 'pace': {'away_pace': np.float64(105.5), 'home_pace': np.float64(99.9), 'projected_pace': np.float64(102.7), 'pace_score': 25, 'reason': 'Fast pace (102.7)'}, 'form': {'away_form': {'team': 'Miami Heat', 'last_6_scores': [110.0, 110.0, 112.0, 112.0, 121.0, 121.0], 'avg_last_6': np.float64(114.3), 'season_ppg': np.float64(125.3), 'diff': np.float64(-11.0), 'is_hot': False, 'trend': 'COLD', 'form_score': 0}, 'home_form': {'team': 'Philadelphia 76ers', 'last_6_scores': [112.0, 112.0, 121.0, 121.0, 117.0, 117.0], 'avg_last_6': np.float64(116.7), 'season_ppg': np.float64(119.3), 'diff': np.float64(-2.6), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 0, 'reason': 'Miami Heat cold (scoring slump)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (26.1 pts above minimum)', 'buffer': np.float64(26.099999999999994)}, 'rest': {'away_rest': {'team': 'Miami Heat', 'game_date': Timestamp('2025-11-23 13:10:00'), 'last_game_date': Timestamp('2025-11-21 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Philadelphia 76ers', 'game_date': Timestamp('2025-11-23 13:10:00'), 'last_game_date': Timestamp('2025-11-20 00:00:00'), 'rest_days': 3, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-11-23 18:10:00-05:00,Charlotte Hornets,Atlanta Hawks,Charlotte Hornets @ Atlanta Hawks,210.5,-770,YES,80,80,HIGH,BET IT,3% bankroll,Strong offense (avg ORtg: 115.9) | Fast pace (100.7) | Both teams hot (WARM/HOT),"{'offensive_power': {'score': 20, 'reason': 'Strong offense (avg ORtg: 115.9)', 'ortg': np.float64(115.9)}, 'pace': {'away_pace': np.float64(99.5), 'home_pace': np.float64(101.8), 'projected_pace': np.float64(100.6), 'pace_score': 25, 'reason': 'Fast pace (100.7)'}, 'form': {'away_form': {'team': 'Charlotte Hornets', 'last_6_scores': [111.0, 111.0, 118.0, 118.0, 136.0, 136.0], 'avg_last_6': np.float64(121.7), 'season_ppg': np.float64(117.2), 'diff': np.float64(4.5), 'is_hot': True, 'trend': 'WARM', 'form_score': 12}, 'home_form': {'team': 'Atlanta Hawks', 'last_6_scores': [133.0, 133.0, 118.0, 118.0, 117.0, 117.0], 'avg_last_6': np.float64(122.7), 'season_ppg': np.float64(117.1), 'diff': np.float64(5.6), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'combined_score': 20, 'reason': 'Both teams hot (WARM/HOT)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (23.8 pts above minimum)', 'buffer': np.float64(23.80000000000001)}, 'rest': {'away_rest': {'team': 'Charlotte Hornets', 'game_date': Timestamp('2025-11-23 18:10:00'), 'last_game_date': Timestamp('2025-11-22 00:00:00'), 'rest_days': 1, 'is_b2b': True, 'fatigue_level': 'B2B'}, 'home_rest': {'team': 'Atlanta Hawks', 'game_date': Timestamp('2025-11-23 18:10:00'), 'last_game_date': Timestamp('2025-11-22 00:00:00'), 'rest_days': 1, 'is_b2b': True, 'fatigue_level': 'B2B'}, 'combined_score': 0, 'reason': 'Both teams on back-to-back (fatigued)'}}"
2025-11-23 18:10:00-05:00,Brooklyn Nets,Toronto Raptors,Brooklyn Nets @ Toronto Raptors,207.5,-870,YES,80,80,HIGH,BET IT,3% bankroll,Strong offense (avg ORtg: 114.8) | Above average pace (99.9) | Both teams hot (WARM/HOT),"{'offensive_power': {'score': 20, 'reason': 'Strong offense (avg ORtg: 114.8)', 'ortg': np.float64(114.75)}, 'pace': {'away_pace': np.float64(98.4), 'home_pace': np.float64(101.4), 'projected_pace': np.float64(99.9), 'pace_score': 15, 'reason': 'Above average pace (99.9)'}, 'form': {'away_form': {'team': 'Brooklyn Nets', 'last_6_scores': [112.0, 112.0, 117.0, 117.0, 112.0, 112.0], 'avg_last_6': np.float64(113.7), 'season_ppg': np.float64(108.9), 'diff': np.float64(4.8), 'is_hot': True, 'trend': 'WARM', 'form_score': 12}, 'home_form': {'team': 'Toronto Raptors', 'last_6_scores': [121.0, 121.0, 138.0, 138.0, 121.0, 121.0], 'avg_last_6': np.float64(126.7), 'season_ppg': np.float64(120.5), 'diff': np.float64(6.2), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'combined_score': 20, 'reason': 'Both teams hot (WARM/HOT)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (21.9 pts above minimum)', 'buffer': np.float64(21.900000000000006)}, 'rest': {'away_rest': {'team': 'Brooklyn Nets', 'game_date': Timestamp('2025-11-23 18:10:00'), 'last_game_date': Timestamp('2025-11-21 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Toronto Raptors', 'game_date': Timestamp('2025-11-23 18:10:00'), 'last_game_date': Timestamp('2025-11-21 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-11-23 20:10:00-05:00,San Antonio Spurs,Phoenix Suns,San Antonio Spurs @ Phoenix Suns,213.5,-780,MAYBE,78,78,MEDIUM,REVIEW MANUALLY,2% bankroll (if you bet),Elite offense (avg ORtg: 118.6) | Above average pace (99.0) | Both teams neutral form,"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 118.6)', 'ortg': np.float64(118.6)}, 'pace': {'away_pace': np.float64(99.3), 'home_pace': np.float64(98.8), 'projected_pace': np.float64(99.0), 'pace_score': 15, 'reason': 'Above average pace (99.0)'}, 'form': {'away_form': {'team': 'San Antonio Spurs', 'last_6_scores': [120.0, 120.0, 116.0, 116.0, 125.0, 125.0], 'avg_last_6': np.float64(120.3), 'season_ppg': np.float64(118.4), 'diff': np.float64(1.9), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Phoenix Suns', 'last_6_scores': [123.0, 123.0, 120.0, 120.0, 113.0, 113.0], 'avg_last_6': np.float64(118.7), 'season_ppg': np.float64(118.5), 'diff': np.float64(0.2), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 8, 'reason': 'Both teams neutral form'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (23.4 pts above minimum)', 'buffer': np.float64(23.400000000000006)}, 'rest': {'away_rest': {'team': 'San Antonio Spurs', 'game_date': Timestamp('2025-11-23 20:10:00'), 'last_game_date': Timestamp('2025-11-20 00:00:00'), 'rest_days': 3, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'home_rest': {'team': 'Phoenix Suns', 'game_date': Timestamp('2025-11-23 20:10:00'), 'last_game_date': Timestamp('2025-11-21 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (3+ days)'}}"
2025-11-23 20:10:00-05:00,Los Angeles Lakers,Utah Jazz,Los Angeles Lakers @ Utah Jazz,223.5,-780,MAYBE,70,70,MEDIUM,REVIEW MANUALLY,2% bankroll (if you bet),Strong offense (avg ORtg: 115.6) | Fast pace (100.2) | Utah Jazz hot (HOT),"{'offensive_power': {'score': 20, 'reason': 'Strong offense (avg ORtg: 115.6)', 'ortg': np.float64(115.6)}, 'pace': {'away_pace': np.float64(99.5), 'home_pace': np.float64(100.9), 'projected_pace': np.float64(100.2), 'pace_score': 25, 'reason': 'Fast pace (100.2)'}, 'form': {'away_form': {'team': 'Los Angeles Lakers', 'last_6_scores': [92.0, 92.0, 118.0, 118.0, 116.0, 116.0], 'avg_last_6': np.float64(108.7), 'season_ppg': np.float64(116.3), 'diff': np.float64(-7.6), 'is_hot': False, 'trend': 'COLD', 'form_score': 0}, 'home_form': {'team': 'Utah Jazz', 'last_6_scores': [103.0, 103.0, 129.0, 129.0, 134.0, 134.0], 'avg_last_6': np.float64(122.0), 'season_ppg': np.float64(116.3), 'diff': np.float64(5.7), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'combined_score': 12, 'reason': 'Utah Jazz hot (HOT)'}, 'buffer': {'score': 3, 'reason': 'Small buffer (9.1 pts)', 'buffer': np.float64(9.099999999999994)}, 'rest': {'away_rest': {'team': 'Los Angeles Lakers', 'game_date': Timestamp('2025-11-23 20:10:00'), 'last_game_date': Timestamp('2025-11-18 00:00:00'), 'rest_days': 5, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'home_rest': {'team': 'Utah Jazz', 'game_date': Timestamp('2025-11-23 20:10:00'), 'last_game_date': Timestamp('2025-11-21 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (5+ days)'}}"
2025-11-23 18:10:00-05:00,Los Angeles Clippers,Cleveland Cavaliers,Los Angeles Clippers @ Cleveland Cavaliers,206.5,-880,NO,55,55,LOW,SKIP,0%,Strong offense (avg ORtg: 115.6) | Above average pace (99.3) | Strong buffer (26.1 pts above minimum),"{'offensive_power': {'score': 20, 'reason': 'Strong offense (avg ORtg: 115.6)', 'ortg': np.float64(115.6)}, 'pace': {'away_pace': np.float64(96.4), 'home_pace': np.float64(102.3), 'projected_pace': np.float64(99.4), 'pace_score': 15, 'reason': 'Above average pace (99.3)'}, 'form': {'away_form': {'team': 'Los Angeles Clippers', 'last_6_scores': [79.0, 79.0, 116.0, 116.0, 108.0, 108.0], 'avg_last_6': np.float64(101.0), 'season_ppg': np.float64(111.5), 'diff': np.float64(-10.5), 'is_hot': False, 'trend': 'COLD', 'form_score': 0}, 'home_form': {'team': 'Cleveland Cavaliers', 'last_6_scores': [132.0, 132.0, 111.0, 111.0, 105.0, 105.0], 'avg_last_6': np.float64(116.0), 'season_ppg': np.float64(121.1), 'diff': np.float64(-5.1), 'is_hot': False, 'trend': 'COLD', 'form_score': 0}, 'combined_score': 0, 'reason': 'Los Angeles Clippers cold (scoring slump)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (26.1 pts above minimum)', 'buffer': np.float64(26.099999999999994)}, 'rest': {'away_rest': {'team': 'Los Angeles Clippers', 'game_date': Timestamp('2025-11-23 18:10:00'), 'last_game_date': Timestamp('2025-11-22 00:00:00'), 'rest_days': 1, 'is_b2b': True, 'fatigue_level': 'B2B'}, 'home_rest': {'team': 'Cleveland Cavaliers', 'game_date': Timestamp('2025-11-23 18:10:00'), 'last_game_date': Timestamp('2025-11-21 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 5, 'reason': 'Los Angeles Clippers on back-to-back'}}"
