away_team,home_team,game,minimum_line,away_expected,home_expected,total_expected,game_tempo,simulations,hits,mc_probability,avg_simulated_total,std_simulated_total,percentile_5,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95,mc_decision,confidence_level,flag_count,floor_safe,away_ortg,away_drtg,home_ortg,home_drtg,odds,vegas_total,risk_flags
Washington Wizards,Philadelphia 76ers,Washington Wizards @ Philadelphia 76ers,213.5,129.1,146.5,275.7,100.9,10000,9981,99.81,271.1,18.4,239.3,246.8,258.8,284.3,294.6,299.9,MAYBE,FLAG_CAUTION,1,True,110.2,123.9,116.0,117.0,-770,228.5,🎲 Washington Wizards high variance (±12.7)
Portland Trail Blazers,Toronto Raptors,Portland Trail Blazers @ Toronto Raptors,210.5,129.3,142.6,271.9,101.2,10000,9986,99.86,268.2,18.0,236.8,244.2,256.4,281.1,290.9,296.1,STRONG_YES,ELITE_CLEAN,0,True,115.4,118.0,118.2,111.6,-830,225.5,
New York Knicks,Boston Celtics,New York Knicks @ Boston Celtics,209.5,135.9,136.3,272.2,98.3,10000,9991,99.91,268.9,17.9,237.8,245.1,257.1,281.6,291.3,296.5,MAYBE,MULTI_FLAG_HIGH,3,True,121.2,114.6,119.6,114.9,-820,224.5,🐢 Boston Celtics slow pace (96.0); 🔄 Pace mismatch (3.7 difference); 🐢🐢 Both teams below avg pace (99.7 & 96.0)
Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies @ San Antonio Spurs,209.5,124.0,138.7,262.7,100.0,10000,9965,99.65,259.7,17.5,229.9,237.1,248.2,271.9,281.8,287.4,STRONG_YES,ELITE_CLEAN,0,True,111.9,116.0,118.2,111.7,-850,224.5,
Minnesota Timberwolves,New Orleans Pelicans,Minnesota Timberwolves @ New Orleans Pelicans,213.5,142.7,127.1,269.8,99.8,10000,9971,99.71,266.5,18.2,235.3,242.5,254.2,279.2,289.9,295.9,MAYBE,MULTI_FLAG_HIGH,2,True,117.6,112.9,111.4,122.4,-830,228.5,🎲 New Orleans Pelicans high variance (±13.2); 🚗🛡️ Road team good defense (112.9 DRtg)
Oklahoma City Thunder,Golden State Warriors,Oklahoma City Thunder @ Golden State Warriors,200.5,135.6,120.4,256.0,99.8,10000,9978,99.78,253.2,18.6,221.5,228.7,240.6,266.4,277.1,283.3,MAYBE,MULTI_FLAG_HIGH,2,True,120.4,104.2,114.3,113.7,-840,215.5,🛡️ Oklahoma City Thunder elite defense (DRtg: 104.2); 🛡️🛡️ BOTH teams good defense (104.2 & 113.7 DRtg)
