date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-10-24,San Antonio Spurs @ New Orleans Pelicans,211.0,NO,53,53,236.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.7) | Above average pace (98.2) | Both teams neutral form
2025-10-24,Miami Heat @ Memphis Grizzlies,223.0,MAYBE,70,70,260.0,True,SKIPPED,Strong offense (avg ORtg: 114.6) | Fast pace (103.8) | Both teams neutral form
2025-10-24,Washington Wizards @ Dallas Mavericks,203.0,NO,57,57,224.0,True,SKIPPED,Fast pace (103.2) | Washington Wizards hot (HOT) | Good buffer (15.1 pts above minimum)
2025-10-24,Minnesota Timberwolves @ Los Angeles Lakers,223.5,NO,62,62,238.0,True,SKIPPED,Elite offense (avg ORtg: 119.2) | Above average pace (99.9) | Moderate buffer (14.9 pts above minimum)
2025-10-24,Golden State Warriors @ Portland Trail Blazers,221.5,MAYBE,72,72,258.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (102.0) | Portland Trail Blazers hot (WARM)
2025-10-24,Utah Jazz @ Sacramento Kings,212.0,NO,57,57,209.0,False,SKIPPED,Fast pace (101.1) | Utah Jazz hot (HOT) | Good buffer (15.2 pts above minimum)
2025-10-24,Phoenix Suns @ Los Angeles Clippers,212.0,NO,55,55,231.0,True,SKIPPED,Strong offense (avg ORtg: 114.8) | Above average pace (98.3) | Good buffer (15.2 pts above minimum)
2025-10-24,Detroit Pistons @ Houston Rockets,224.5,YES,85,85,226.0,True,WIN,Elite offense (avg ORtg: 119.2) | Above average pace (99.2) | Both teams hot (WARM/HOT)
2025-10-24,Washington Wizards @ Dallas Mavericks,203.0,NO,57,57,224.0,True,SKIPPED,Fast pace (103.2) | Washington Wizards hot (HOT) | Good buffer (15.1 pts above minimum)
2025-10-24,Minnesota Timberwolves @ Los Angeles Lakers,223.5,NO,62,62,238.0,True,SKIPPED,Elite offense (avg ORtg: 119.2) | Above average pace (99.9) | Moderate buffer (14.9 pts above minimum)
2025-10-24,Golden State Warriors @ Portland Trail Blazers,221.5,MAYBE,72,72,258.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (102.0) | Portland Trail Blazers hot (WARM)
2025-10-24,Utah Jazz @ Sacramento Kings,212.0,NO,57,57,209.0,False,SKIPPED,Fast pace (101.1) | Utah Jazz hot (HOT) | Good buffer (15.2 pts above minimum)
2025-10-24,Phoenix Suns @ Los Angeles Clippers,212.0,NO,55,55,231.0,True,SKIPPED,Strong offense (avg ORtg: 114.8) | Above average pace (98.3) | Good buffer (15.2 pts above minimum)
2025-10-31,New Orleans Pelicans @ Los Angeles Clippers,203.5,NO,25,25,250.0,True,SKIPPED,Average pace (97.2) | Moderate buffer (14.9 pts above minimum) | Both teams rested (2+ days)
2025-10-31,Denver Nuggets @ Portland Trail Blazers,230.5,YES,87,87,216.0,False,LOSS,Elite offense (avg ORtg: 119.7) | Fast pace (102.0) | Portland Trail Blazers hot (WARM)
2025-10-31,Utah Jazz @ Phoenix Suns,214.0,NO,54,54,214.0,False,SKIPPED,Above-avg offense (avg ORtg: 113.2) | Above average pace (100.0) | Utah Jazz hot (HOT)
2025-10-31,Los Angeles Lakers @ Memphis Grizzlies,219.5,NO,65,65,229.0,True,SKIPPED,Strong offense (avg ORtg: 115.7) | Fast pace (101.5) | Good buffer (15.2 pts above minimum)
2025-10-31,New York Knicks @ Chicago Bulls,223.0,YES,87,87,260.0,True,WIN,Elite offense (avg ORtg: 118.8) | Fast pace (100.2) | New York Knicks hot (WARM)
2025-10-31,Toronto Raptors @ Cleveland Cavaliers,224.0,YES,87,87,213.0,False,LOSS,Elite offense (avg ORtg: 117.3) | Fast pace (101.9) | Toronto Raptors hot (HOT)
2025-10-31,Boston Celtics @ Philadelphia 76ers,221.5,MAYBE,74,74,217.0,False,SKIPPED,Elite offense (avg ORtg: 118.7) | Above average pace (98.8) | Boston Celtics hot (HOT)
2025-10-31,Atlanta Hawks @ Indiana Pacers,211.0,NO,57,57,236.0,True,SKIPPED,Fast pace (102.0) | Atlanta Hawks hot (HOT) | Good buffer (15.0 pts above minimum)
2025-10-31,New Orleans Pelicans @ Los Angeles Clippers,203.5,NO,25,25,250.0,True,SKIPPED,Average pace (97.2) | Moderate buffer (14.9 pts above minimum) | Both teams rested (2+ days)
2025-10-31,Denver Nuggets @ Portland Trail Blazers,230.5,YES,87,87,216.0,False,LOSS,Elite offense (avg ORtg: 119.7) | Fast pace (102.0) | Portland Trail Blazers hot (WARM)
2025-10-31,Utah Jazz @ Phoenix Suns,214.0,NO,54,54,214.0,False,SKIPPED,Above-avg offense (avg ORtg: 113.2) | Above average pace (100.0) | Utah Jazz hot (HOT)
2025-10-31,Los Angeles Lakers @ Memphis Grizzlies,219.5,NO,65,65,229.0,True,SKIPPED,Strong offense (avg ORtg: 115.7) | Fast pace (101.5) | Good buffer (15.2 pts above minimum)
2025-10-31,New York Knicks @ Chicago Bulls,223.0,YES,87,87,260.0,True,WIN,Elite offense (avg ORtg: 118.8) | Fast pace (100.2) | New York Knicks hot (WARM)
2025-10-31,Toronto Raptors @ Cleveland Cavaliers,224.0,YES,87,87,213.0,False,LOSS,Elite offense (avg ORtg: 117.3) | Fast pace (101.9) | Toronto Raptors hot (HOT)
2025-10-31,Boston Celtics @ Philadelphia 76ers,221.5,MAYBE,74,74,217.0,False,SKIPPED,Elite offense (avg ORtg: 118.7) | Above average pace (98.8) | Boston Celtics hot (HOT)
2025-10-31,Atlanta Hawks @ Indiana Pacers,211.0,NO,57,57,236.0,True,SKIPPED,Fast pace (102.0) | Atlanta Hawks hot (HOT) | Good buffer (15.0 pts above minimum)
