date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-11-21,Minnesota Timberwolves @ Phoenix Suns,221.5,MAYBE,73,73,227.0,True,SKIPPED,Elite offense (avg ORtg: 117.8) | Above average pace (99.9) | Both teams neutral form
2025-11-21,Denver Nuggets @ Houston Rockets,231.0,MAYBE,70,70,221.0,False,SKIPPED,Elite offense (avg ORtg: 124.2) | Average pace (97.7) | Houston Rockets hot (WARM)
2025-11-21,Miami Heat @ Chicago Bulls,230.0,MAYBE,75,75,250.0,True,SKIPPED,Elite offense (avg ORtg: 116.3) | Fast pace (104.5) | Good buffer (15.2 pts above minimum)
2025-11-21,Portland Trail Blazers @ Golden State Warriors,220.0,MAYBE,77,77,250.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (101.3) | Portland Trail Blazers hot (WARM)
2025-11-07,Oklahoma City Thunder @ Sacramento Kings,220.0,MAYBE,74,74,233.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (100.4) | Sacramento Kings hot (WARM)
2025-11-07,Toronto Raptors @ Atlanta Hawks,222.5,YES,95,95,206.0,False,LOSS,Elite offense (avg ORtg: 117.8) | Fast pace (100.9) | Both teams hot (HOT/HOT)
2025-11-07,Detroit Pistons @ Brooklyn Nets,214.0,NO,64,64,232.0,True,SKIPPED,Strong offense (avg ORtg: 115.1) | Above average pace (99.0) | Brooklyn Nets hot (WARM)
2025-11-07,Houston Rockets @ San Antonio Spurs,225.5,MAYBE,70,70,231.0,True,SKIPPED,Elite offense (avg ORtg: 121.3) | Average pace (97.8) | Houston Rockets hot (WARM)
2025-11-07,Boston Celtics @ Orlando Magic,218.0,MAYBE,75,75,233.0,True,SKIPPED,Elite offense (avg ORtg: 118.7) | Average pace (97.8) | Both teams hot (HOT/WARM)
2025-11-07,Cleveland Cavaliers @ Washington Wizards,216.5,NO,63,63,263.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.8) | Fast pace (101.8) | Both teams neutral form
2025-11-07,Boston Celtics @ Orlando Magic,218.0,MAYBE,75,75,233.0,True,SKIPPED,Elite offense (avg ORtg: 118.7) | Average pace (97.8) | Both teams hot (HOT/WARM)
2025-11-07,Cleveland Cavaliers @ Washington Wizards,216.5,NO,63,63,263.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.8) | Fast pace (101.8) | Both teams neutral form
2025-11-07,Toronto Raptors @ Atlanta Hawks,222.5,YES,95,95,206.0,False,LOSS,Elite offense (avg ORtg: 117.8) | Fast pace (100.9) | Both teams hot (HOT/HOT)
2025-11-07,Golden State Warriors @ Denver Nuggets,224.5,MAYBE,73,73,233.0,True,SKIPPED,Elite offense (avg ORtg: 119.4) | Above average pace (99.8) | Both teams neutral form
2025-11-07,Utah Jazz @ Minnesota Timberwolves,222.5,YES,87,87,234.0,True,WIN,Elite offense (avg ORtg: 116.0) | Fast pace (101.2) | Utah Jazz hot (WARM)
2025-11-07,Houston Rockets @ San Antonio Spurs,225.5,MAYBE,70,70,231.0,True,SKIPPED,Elite offense (avg ORtg: 121.3) | Average pace (97.8) | Houston Rockets hot (WARM)
2025-11-07,Charlotte Hornets @ Miami Heat,225.0,YES,87,87,234.0,True,WIN,Elite offense (avg ORtg: 116.6) | Fast pace (102.4) | Charlotte Hornets hot (HOT)
2025-11-07,Dallas Mavericks @ Memphis Grizzlies,207.0,NO,54,54,222.0,True,SKIPPED,Fast pace (101.7) | Memphis Grizzlies hot (WARM) | Moderate buffer (14.8 pts above minimum)
2025-11-07,Detroit Pistons @ Brooklyn Nets,214.0,NO,64,64,232.0,True,SKIPPED,Strong offense (avg ORtg: 115.1) | Above average pace (99.0) | Brooklyn Nets hot (WARM)
2025-11-07,Chicago Bulls @ Milwaukee Bucks,223.0,MAYBE,70,70,236.0,True,SKIPPED,Strong offense (avg ORtg: 115.5) | Fast pace (101.7) | Both teams neutral form
2025-11-07,Dallas Mavericks @ Memphis Grizzlies,207.0,NO,54,54,222.0,True,SKIPPED,Fast pace (101.7) | Memphis Grizzlies hot (WARM) | Moderate buffer (14.8 pts above minimum)
2025-11-07,Chicago Bulls @ Milwaukee Bucks,223.0,MAYBE,70,70,236.0,True,SKIPPED,Strong offense (avg ORtg: 115.5) | Fast pace (101.7) | Both teams neutral form
2025-11-07,Utah Jazz @ Minnesota Timberwolves,222.5,YES,87,87,234.0,True,WIN,Elite offense (avg ORtg: 116.0) | Fast pace (101.2) | Utah Jazz hot (WARM)
2025-11-07,Golden State Warriors @ Denver Nuggets,224.5,MAYBE,73,73,233.0,True,SKIPPED,Elite offense (avg ORtg: 119.4) | Above average pace (99.8) | Both teams neutral form
2025-11-07,Oklahoma City Thunder @ Sacramento Kings,220.0,MAYBE,74,74,233.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (100.4) | Sacramento Kings hot (WARM)
2025-11-07,Charlotte Hornets @ Miami Heat,225.0,YES,87,87,234.0,True,WIN,Elite offense (avg ORtg: 116.6) | Fast pace (102.4) | Charlotte Hornets hot (HOT)
2025-10-24,Golden State Warriors @ Portland Trail Blazers,220.0,MAYBE,72,72,258.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (101.3) | Portland Trail Blazers hot (WARM)
2025-10-24,Minnesota Timberwolves @ Los Angeles Lakers,222.0,MAYBE,72,72,238.0,True,SKIPPED,Elite offense (avg ORtg: 117.6) | Fast pace (100.5) | Moderate buffer (14.9 pts above minimum)
2025-10-24,Washington Wizards @ Dallas Mavericks,207.5,NO,42,42,224.0,True,SKIPPED,Fast pace (102.2) | Moderate buffer (14.9 pts above minimum) | Both teams rested (2+ days)
2025-10-24,Atlanta Hawks @ Orlando Magic,220.5,YES,95,95,218.0,False,LOSS,Elite offense (avg ORtg: 117.0) | Fast pace (100.4) | Both teams hot (HOT/WARM)
2025-10-24,Miami Heat @ Memphis Grizzlies,221.0,NO,67,67,260.0,True,SKIPPED,Above-avg offense (avg ORtg: 114.0) | Fast pace (103.3) | Memphis Grizzlies hot (WARM)
2025-10-24,San Antonio Spurs @ New Orleans Pelicans,214.0,NO,52,52,236.0,True,SKIPPED,Strong offense (avg ORtg: 114.7) | Above average pace (99.2) | Moderate buffer (14.9 pts above minimum)
2025-10-24,Detroit Pistons @ Houston Rockets,227.0,MAYBE,74,74,226.0,False,SKIPPED,Elite offense (avg ORtg: 121.2) | Above average pace (98.5) | Houston Rockets hot (WARM)
2025-10-24,Boston Celtics @ New York Knicks,220.0,NO,67,67,200.0,False,SKIPPED,Elite offense (avg ORtg: 120.1) | Average pace (97.8) | Boston Celtics hot (HOT)
2025-10-24,Cleveland Cavaliers @ Brooklyn Nets,213.0,NO,67,67,255.0,True,SKIPPED,Strong offense (avg ORtg: 114.2) | Above average pace (99.5) | Brooklyn Nets hot (WARM)
2025-10-24,Atlanta Hawks @ Orlando Magic,220.5,YES,95,95,218.0,False,LOSS,Elite offense (avg ORtg: 117.0) | Fast pace (100.4) | Both teams hot (HOT/WARM)
2025-10-24,Milwaukee Bucks @ Toronto Raptors,222.0,YES,84,84,238.0,True,WIN,Elite offense (avg ORtg: 117.2) | Fast pace (100.4) | Toronto Raptors hot (HOT)
2025-10-24,Utah Jazz @ Sacramento Kings,215.5,NO,62,62,209.0,False,SKIPPED,Fast pace (101.7) | Both teams hot (WARM/WARM) | Moderate buffer (14.9 pts above minimum)
2025-10-24,Cleveland Cavaliers @ Brooklyn Nets,213.0,NO,67,67,255.0,True,SKIPPED,Strong offense (avg ORtg: 114.2) | Above average pace (99.5) | Brooklyn Nets hot (WARM)
2025-10-24,Boston Celtics @ New York Knicks,220.0,NO,67,67,200.0,False,SKIPPED,Elite offense (avg ORtg: 120.1) | Average pace (97.8) | Boston Celtics hot (HOT)
2025-10-24,Detroit Pistons @ Houston Rockets,227.0,MAYBE,74,74,226.0,False,SKIPPED,Elite offense (avg ORtg: 121.2) | Above average pace (98.5) | Houston Rockets hot (WARM)
2025-10-24,San Antonio Spurs @ New Orleans Pelicans,214.0,NO,52,52,236.0,True,SKIPPED,Strong offense (avg ORtg: 114.7) | Above average pace (99.2) | Moderate buffer (14.9 pts above minimum)
2025-10-24,Miami Heat @ Memphis Grizzlies,221.0,NO,67,67,260.0,True,SKIPPED,Above-avg offense (avg ORtg: 114.0) | Fast pace (103.3) | Memphis Grizzlies hot (WARM)
2025-10-24,Washington Wizards @ Dallas Mavericks,207.5,NO,42,42,224.0,True,SKIPPED,Fast pace (102.2) | Moderate buffer (14.9 pts above minimum) | Both teams rested (2+ days)
2025-10-24,Minnesota Timberwolves @ Los Angeles Lakers,222.0,MAYBE,72,72,238.0,True,SKIPPED,Elite offense (avg ORtg: 117.6) | Fast pace (100.5) | Moderate buffer (14.9 pts above minimum)
2025-10-24,Golden State Warriors @ Portland Trail Blazers,220.0,MAYBE,72,72,258.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (101.3) | Portland Trail Blazers hot (WARM)
2025-10-24,Utah Jazz @ Sacramento Kings,215.5,NO,62,62,209.0,False,SKIPPED,Fast pace (101.7) | Both teams hot (WARM/WARM) | Moderate buffer (14.9 pts above minimum)
2025-10-24,Phoenix Suns @ Los Angeles Clippers,214.0,NO,45,45,231.0,True,SKIPPED,Strong offense (avg ORtg: 115.9) | Average pace (97.8) | Moderate buffer (14.9 pts above minimum)
2025-10-24,Milwaukee Bucks @ Toronto Raptors,222.0,YES,84,84,238.0,True,WIN,Elite offense (avg ORtg: 117.2) | Fast pace (100.4) | Toronto Raptors hot (HOT)
2025-10-24,Phoenix Suns @ Los Angeles Clippers,214.0,NO,45,45,231.0,True,SKIPPED,Strong offense (avg ORtg: 115.9) | Average pace (97.8) | Moderate buffer (14.9 pts above minimum)
2025-10-31,Denver Nuggets @ Portland Trail Blazers,228.0,YES,87,87,216.0,False,LOSS,Elite offense (avg ORtg: 120.2) | Fast pace (100.5) | Portland Trail Blazers hot (WARM)
2025-10-31,Boston Celtics @ Philadelphia 76ers,218.0,NO,67,67,217.0,False,SKIPPED,Elite offense (avg ORtg: 118.3) | Average pace (97.8) | Boston Celtics hot (HOT)
2025-10-31,New Orleans Pelicans @ Los Angeles Clippers,207.5,NO,35,35,250.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.7) | Average pace (97.8) | Moderate buffer (14.9 pts above minimum)
2025-10-31,Denver Nuggets @ Portland Trail Blazers,228.0,YES,87,87,216.0,False,LOSS,Elite offense (avg ORtg: 120.2) | Fast pace (100.5) | Portland Trail Blazers hot (WARM)
2025-10-31,Atlanta Hawks @ Indiana Pacers,213.0,NO,54,54,236.0,True,SKIPPED,Fast pace (101.2) | Atlanta Hawks hot (HOT) | Moderate buffer (14.8 pts above minimum)
2025-10-31,Los Angeles Lakers @ Memphis Grizzlies,214.5,MAYBE,77,77,229.0,True,SKIPPED,Strong offense (avg ORtg: 114.2) | Fast pace (100.6) | Memphis Grizzlies hot (WARM)
2025-10-31,New York Knicks @ Chicago Bulls,226.5,YES,83,83,260.0,True,WIN,Elite offense (avg ORtg: 118.3) | Fast pace (101.6) | Both teams neutral form
2025-10-31,Atlanta Hawks @ Indiana Pacers,213.0,NO,54,54,236.0,True,SKIPPED,Fast pace (101.2) | Atlanta Hawks hot (HOT) | Moderate buffer (14.8 pts above minimum)
2025-10-31,Utah Jazz @ Phoenix Suns,220.0,MAYBE,77,77,214.0,False,SKIPPED,Strong offense (avg ORtg: 115.7) | Fast pace (100.4) | Utah Jazz hot (WARM)
2025-10-31,Toronto Raptors @ Cleveland Cavaliers,224.0,YES,87,87,213.0,False,LOSS,Elite offense (avg ORtg: 118.0) | Fast pace (101.1) | Toronto Raptors hot (HOT)
2025-10-31,Los Angeles Lakers @ Memphis Grizzlies,214.5,MAYBE,77,77,229.0,True,SKIPPED,Strong offense (avg ORtg: 114.2) | Fast pace (100.6) | Memphis Grizzlies hot (WARM)
2025-10-31,Utah Jazz @ Phoenix Suns,220.0,MAYBE,77,77,214.0,False,SKIPPED,Strong offense (avg ORtg: 115.7) | Fast pace (100.4) | Utah Jazz hot (WARM)
2025-10-31,New Orleans Pelicans @ Los Angeles Clippers,207.5,NO,35,35,250.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.7) | Average pace (97.8) | Moderate buffer (14.9 pts above minimum)
2025-10-31,Toronto Raptors @ Cleveland Cavaliers,224.0,YES,87,87,213.0,False,LOSS,Elite offense (avg ORtg: 118.0) | Fast pace (101.1) | Toronto Raptors hot (HOT)
2025-10-31,Boston Celtics @ Philadelphia 76ers,218.0,NO,67,67,217.0,False,SKIPPED,Elite offense (avg ORtg: 118.3) | Average pace (97.8) | Boston Celtics hot (HOT)
