away_team,home_team,game,minimum_line,away_expected,home_expected,total_expected,game_tempo,simulations,hits,mc_probability,avg_simulated_total,std_simulated_total,percentile_5,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95,mc_decision,confidence_level,flag_count,floor_safe,risk_flags,away_ortg,away_drtg,home_ortg,home_drtg,flags,away_injuries,home_injuries,actual_total,hit,estimated_vegas
Sacramento Kings,Minnesota Timberwolves,Sacramento Kings @ Minnesota Timberwolves,211.89999999999998,124.2,145.8,270.0,101.0,1000,999,99.9,266.5,17.3,236.2,242.2,255.2,278.5,287.7,292.8,STRONG_YES,ELITE_CLEAN,0,True,[],109.9,121.0,118.1,112.8,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],234.0,True,231.89999999999998
Los Angeles Lakers,New Orleans Pelicans,Los Angeles Lakers @ New Orleans Pelicans,207.89999999999998,141.9,128.1,270.0,99.8,1000,998,99.8,265.9,18.6,235.3,242.2,253.4,279.1,290.0,295.8,MAYBE,FLAG_CAUTION,1,True,['🎲 New Orleans Pelicans high variance (±13.0)'],117.1,114.4,110.9,122.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],222.0,True,227.89999999999998
Los Angeles Clippers,Dallas Mavericks,Los Angeles Clippers @ Dallas Mavericks,201.3,125.6,127.3,252.9,99.6,1000,991,99.1,249.7,20.5,216.0,223.1,235.3,263.9,276.0,282.9,MAYBE,MULTI_FLAG_HIGH,3,True,"['🐢 Los Angeles Clippers slow pace (96.6)', '🎲 Los Angeles Clippers high variance (±13.0)', '🎲 Dallas Mavericks high variance (±13.1)']",114.4,119.9,105.3,111.1,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],260.0,True,221.3
Golden State Warriors,San Antonio Spurs,Golden State Warriors @ San Antonio Spurs,214.1,127.5,136.0,263.5,100.0,1000,997,99.7,260.8,16.8,232.6,238.3,250.1,272.0,282.1,287.9,STRONG_YES,ELITE_CLEAN,0,True,[],114.5,113.6,118.4,112.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': False, 'injury_concern': False}",[],[],217.0,True,234.1
Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers @ Detroit Pistons,217.89999999999998,129.7,138.5,268.1,100.2,1000,995,99.5,265.9,17.4,235.9,243.1,254.4,278.8,287.5,292.6,STRONG_YES,ELITE_CLEAN,0,True,[],117.2,115.7,118.2,111.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],219.0,True,237.89999999999998
Miami Heat,New York Knicks,Miami Heat @ New York Knicks,224.2,136.7,138.5,275.2,102.2,1000,991,99.1,271.1,18.2,240.0,247.0,259.0,284.1,294.5,299.1,MAYBE,FLAG_CAUTION,1,True,['🎲 Miami Heat high variance (±13.3)'],116.7,111.1,120.7,115.5,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],272.0,True,244.2
Brooklyn Nets,Orlando Magic,Brooklyn Nets @ Orlando Magic,207.5,125.9,144.7,270.6,99.0,1000,1000,100.0,268.0,15.6,240.0,247.2,258.0,279.6,287.2,291.4,MAYBE,FLAG_CAUTION,1,True,['🐢 Brooklyn Nets slow pace (97.5)'],112.0,122.8,117.8,114.5,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],203.0,False,227.5
Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers @ Detroit Pistons,217.89999999999998,129.7,138.5,268.1,100.2,1000,993,99.3,263.7,18.0,233.4,240.3,252.0,276.3,285.9,293.2,STRONG_YES,ELITE_CLEAN,0,True,[],117.2,115.7,118.2,111.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],219.0,True,237.89999999999998
Portland Trail Blazers,Houston Rockets,Portland Trail Blazers @ Houston Rockets,221.6,129.5,147.5,277.0,99.4,1000,996,99.6,272.7,16.8,243.2,250.9,261.8,284.9,293.1,297.9,MAYBE,FLAG_CAUTION,1,True,['🐢 Houston Rockets slow pace (96.4)'],116.2,118.2,124.2,112.9,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],256.0,True,241.6
Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets @ Milwaukee Bucks,212.7,135.9,140.0,275.9,99.7,1000,1000,100.0,271.1,18.8,237.4,245.7,258.5,285.7,294.7,300.6,MAYBE,FLAG_CAUTION,1,True,['🎲 Milwaukee Bucks high variance (±12.8)'],116.4,120.7,115.1,117.9,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],281.0,True,232.7
