away_team,home_team,game,minimum_line,away_expected,home_expected,total_expected,game_tempo,simulations,hits,mc_probability,avg_simulated_total,std_simulated_total,percentile_5,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95,mc_decision,confidence_level,flag_count,floor_safe,risk_flags,away_ortg,away_drtg,home_ortg,home_drtg,flags,away_injuries,home_injuries,actual_total,hit,estimated_vegas
Sacramento Kings,Minnesota Timberwolves,Sacramento Kings @ Minnesota Timberwolves,211.89999999999998,124.2,145.8,270.0,101.0,1000,1000,100.0,265.8,16.2,237.3,244.2,255.4,277.4,285.9,290.4,MAYBE,FLAG_CAUTION,1,True,['📉 Sacramento Kings weak offense (ORtg: 109.9)'],109.9,121.0,118.1,112.8,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],234.0,True,231.89999999999998
Los Angeles Lakers,New Orleans Pelicans,Los Angeles Lakers @ New Orleans Pelicans,207.89999999999998,141.9,128.1,270.0,99.8,1000,999,99.9,267.0,18.7,234.6,241.8,254.1,279.8,291.3,297.3,MAYBE,FLAG_CAUTION,1,True,['🎲 New Orleans Pelicans high variance (±13.0)'],117.1,114.4,110.9,122.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],222.0,True,227.89999999999998
Los Angeles Clippers,Dallas Mavericks,Los Angeles Clippers @ Dallas Mavericks,201.3,125.6,127.3,252.9,99.6,1000,988,98.8,250.4,21.2,215.0,222.6,235.9,265.6,278.4,285.0,MAYBE,MULTI_FLAG_HIGH,5,True,"['🐢 Los Angeles Clippers slow pace (96.6)', '🎲 Los Angeles Clippers high variance (±13.0)', '🎲 Dallas Mavericks high variance (±13.1)', '🔄 Pace mismatch (5.7 difference)', '📉 Dallas Mavericks weak offense (ORtg: 105.3)']",114.4,119.9,105.3,111.1,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],260.0,True,221.3
Golden State Warriors,San Antonio Spurs,Golden State Warriors @ San Antonio Spurs,214.1,127.5,136.0,263.5,100.0,1000,992,99.2,259.6,17.5,229.2,236.7,248.3,271.8,281.2,287.1,MAYBE,FLAG_CAUTION,1,True,['🛡️🛡️ BOTH teams good defense (113.6 & 112.3 DRtg)'],114.5,113.6,118.4,112.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': False, 'injury_concern': False}",[],[],217.0,True,234.1
Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers @ Detroit Pistons,217.89999999999998,129.7,138.5,268.1,100.2,1000,995,99.5,265.3,18.4,235.2,240.5,253.2,278.0,289.1,295.3,STRONG_YES,ELITE_CLEAN,0,True,[],117.2,115.7,118.2,111.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],219.0,True,237.89999999999998
Miami Heat,New York Knicks,Miami Heat @ New York Knicks,224.2,136.7,138.5,275.2,102.2,1000,984,98.4,270.7,20.0,235.7,244.0,257.9,286.0,296.3,302.3,MAYBE,MULTI_FLAG_HIGH,3,True,"['🎲 Miami Heat high variance (±13.3)', '🔄 Pace mismatch (5.9 difference)', '🚗🛡️ Road team good defense (111.1 DRtg)']",116.7,111.1,120.7,115.5,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],272.0,True,244.2
Brooklyn Nets,Orlando Magic,Brooklyn Nets @ Orlando Magic,207.5,125.9,144.7,270.6,99.0,1000,1000,100.0,267.3,15.5,238.6,246.6,256.9,278.5,286.2,290.2,MAYBE,MULTI_FLAG_HIGH,2,True,"['🐢 Brooklyn Nets slow pace (97.5)', '🐢🐢 Both teams below avg pace (97.5 & 99.8)']",112.0,122.8,117.8,114.5,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],203.0,False,227.5
Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers @ Detroit Pistons,217.89999999999998,129.7,138.5,268.1,100.2,1000,991,99.1,265.5,18.3,234.2,241.8,253.8,278.6,288.7,294.1,STRONG_YES,ELITE_CLEAN,0,True,[],117.2,115.7,118.2,111.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],219.0,True,237.89999999999998
Portland Trail Blazers,Houston Rockets,Portland Trail Blazers @ Houston Rockets,221.6,129.5,147.5,277.0,99.4,1000,995,99.5,273.5,16.9,244.4,251.5,262.5,284.9,295.0,300.4,MAYBE,MULTI_FLAG_HIGH,2,True,"['🐢 Houston Rockets slow pace (96.4)', '🔄 Pace mismatch (5.7 difference)']",116.2,118.2,124.2,112.9,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],256.0,True,241.6
Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets @ Milwaukee Bucks,212.7,135.9,140.0,275.9,99.7,1000,998,99.8,272.6,18.5,240.1,248.6,260.9,285.9,296.4,300.6,MAYBE,FLAG_CAUTION,1,True,['🎲 Milwaukee Bucks high variance (±12.8)'],116.4,120.7,115.1,117.9,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],281.0,True,232.7
Sacramento Kings,Minnesota Timberwolves,Sacramento Kings @ Minnesota Timberwolves,211.89999999999998,124.2,145.8,270.0,101.0,1000,999,99.9,267.2,16.6,238.3,245.0,256.5,279.3,286.5,291.8,MAYBE,FLAG_CAUTION,1,True,['📉 Sacramento Kings weak offense (ORtg: 109.9)'],109.9,121.0,118.1,112.8,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],234.0,True,231.89999999999998
Portland Trail Blazers,Houston Rockets,Portland Trail Blazers @ Houston Rockets,221.6,129.5,147.5,277.0,99.4,1000,998,99.8,273.4,17.2,242.1,250.1,262.4,285.9,294.9,301.1,MAYBE,MULTI_FLAG_HIGH,2,True,"['🐢 Houston Rockets slow pace (96.4)', '🔄 Pace mismatch (5.7 difference)']",116.2,118.2,124.2,112.9,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],256.0,True,241.6
Los Angeles Lakers,New Orleans Pelicans,Los Angeles Lakers @ New Orleans Pelicans,207.89999999999998,141.9,128.1,270.0,99.8,1000,998,99.8,265.9,20.0,230.2,239.2,252.2,279.9,291.6,297.6,MAYBE,FLAG_CAUTION,1,True,['🎲 New Orleans Pelicans high variance (±13.0)'],117.1,114.4,110.9,122.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],222.0,True,227.89999999999998
Miami Heat,New York Knicks,Miami Heat @ New York Knicks,224.2,136.7,138.5,275.2,102.2,1000,990,99.0,272.2,19.6,238.0,245.4,259.3,287.1,296.6,302.5,MAYBE,MULTI_FLAG_HIGH,3,True,"['🎲 Miami Heat high variance (±13.3)', '🔄 Pace mismatch (5.9 difference)', '🚗🛡️ Road team good defense (111.1 DRtg)']",116.7,111.1,120.7,115.5,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],272.0,True,244.2
Los Angeles Clippers,Dallas Mavericks,Los Angeles Clippers @ Dallas Mavericks,201.3,125.6,127.3,252.9,99.6,1000,988,98.8,250.2,20.3,215.9,224.3,236.5,265.1,276.3,282.1,MAYBE,MULTI_FLAG_HIGH,5,True,"['🐢 Los Angeles Clippers slow pace (96.6)', '🎲 Los Angeles Clippers high variance (±13.0)', '🎲 Dallas Mavericks high variance (±13.1)', '🔄 Pace mismatch (5.7 difference)', '📉 Dallas Mavericks weak offense (ORtg: 105.3)']",114.4,119.9,105.3,111.1,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],260.0,True,221.3
Golden State Warriors,San Antonio Spurs,Golden State Warriors @ San Antonio Spurs,214.1,127.5,136.0,263.5,100.0,1000,995,99.5,259.9,17.3,231.7,237.5,247.9,271.8,282.5,287.9,MAYBE,FLAG_CAUTION,1,True,['🛡️🛡️ BOTH teams good defense (113.6 & 112.3 DRtg)'],114.5,113.6,118.4,112.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': False, 'injury_concern': False}",[],[],217.0,True,234.1
Brooklyn Nets,Orlando Magic,Brooklyn Nets @ Orlando Magic,207.5,125.9,144.7,270.6,99.0,1000,1000,100.0,267.0,16.0,240.1,245.9,256.2,278.4,287.1,292.4,MAYBE,MULTI_FLAG_HIGH,2,True,"['🐢 Brooklyn Nets slow pace (97.5)', '🐢🐢 Both teams below avg pace (97.5 & 99.8)']",112.0,122.8,117.8,114.5,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],203.0,False,227.5
Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets @ Milwaukee Bucks,212.7,135.9,140.0,275.9,99.7,1000,998,99.8,271.0,19.3,237.9,244.9,258.5,285.6,294.9,300.3,MAYBE,FLAG_CAUTION,1,True,['🎲 Milwaukee Bucks high variance (±12.8)'],116.4,120.7,115.1,117.9,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],281.0,True,232.7
Indiana Pacers,Cleveland Cavaliers,Indiana Pacers @ Cleveland Cavaliers,209.3,121.5,142.4,263.9,101.2,1000,999,99.9,260.5,18.3,229.7,236.1,247.9,273.5,283.6,289.0,MAYBE,MULTI_FLAG_HIGH,2,True,"['🎲 Cleveland Cavaliers high variance (±12.8)', '📉 Indiana Pacers weak offense (ORtg: 107.5)']",107.5,119.5,116.5,112.6,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],229.0,True,229.3
Brooklyn Nets,Boston Celtics,Brooklyn Nets @ Boston Celtics,203.8,124.1,144.4,268.6,97.4,1000,1000,100.0,264.9,15.7,237.5,244.1,253.7,276.0,283.5,287.7,MAYBE,MULTI_FLAG_HIGH,3,True,"['🐢 BOTH teams slow pace (97.5 & 95.9)', '🎲 Boston Celtics high variance (±12.3)', '🐢🐢 Both teams below avg pace (97.5 & 95.9)']",112.0,122.8,119.5,114.7,"{'slow_pace_game': True, 'both_slow_pace': True, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],218.0,True,223.8
Washington Wizards,Toronto Raptors,Washington Wizards @ Toronto Raptors,213.3,123.2,152.2,275.4,101.2,1000,998,99.8,270.6,15.7,244.0,250.6,259.9,282.2,289.4,294.0,MAYBE,FLAG_CAUTION,1,True,['📉 Washington Wizards weak offense (ORtg: 109.0)'],109.0,124.7,119.4,112.5,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],250.0,True,233.3
