version,result,away,home,line,actual,mc_prob,flags
V3.2,WIN,Detroit Pistons,Brooklyn Nets,209.45219146807926,232.0,97.11999999999999,0
V3.2,WIN,Minnesota Timberwolves,Brooklyn Nets,216.3541625845668,234.0,94.64,0
