away_team,home_team,game,minimum_line,away_expected,home_expected,total_expected,game_tempo,simulations,hits,mc_probability,avg_simulated_total,std_simulated_total,percentile_5,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95,mc_decision,confidence_level,flag_count,floor_safe,risk_flags,away_ortg,away_drtg,home_ortg,home_drtg,flags,away_injuries,home_injuries,actual_total,hit,estimated_vegas
Los Angeles Lakers,New Orleans Pelicans,Los Angeles Lakers @ New Orleans Pelicans,207.89999999999998,141.9,128.1,270.0,99.8,1000,1000,100.0,265.9,18.6,235.0,240.9,252.8,279.4,289.1,295.0,YES,HIGH_DESPITE_FLAG,1,True,['🎲 New Orleans Pelicans high variance (±13.0)'],117.1,114.4,110.9,122.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],222.0,True,227.89999999999998
Miami Heat,New York Knicks,Miami Heat @ New York Knicks,224.2,136.7,138.5,275.2,102.2,1000,991,99.1,271.3,18.8,239.1,245.9,258.6,284.6,295.5,301.6,YES,HIGH_DESPITE_FLAG,1,True,['🎲 Miami Heat high variance (±13.3)'],116.7,111.1,120.7,115.5,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],272.0,True,244.2
Los Angeles Clippers,Dallas Mavericks,Los Angeles Clippers @ Dallas Mavericks,201.3,125.6,127.3,252.9,99.6,1000,994,99.4,249.6,20.2,216.4,223.3,234.8,263.8,275.4,282.6,MAYBE,MULTI_FLAG_HIGH,3,True,"['🐢 Los Angeles Clippers slow pace (96.6)', '🎲 Los Angeles Clippers high variance (±13.0)', '🎲 Dallas Mavericks high variance (±13.1)']",114.4,119.9,105.3,111.1,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],260.0,True,221.3
Golden State Warriors,San Antonio Spurs,Golden State Warriors @ San Antonio Spurs,214.1,127.5,136.0,263.5,100.0,1000,995,99.5,260.8,17.3,231.3,238.4,249.0,272.8,282.8,288.7,STRONG_YES,ELITE,0,True,[],114.5,113.6,118.4,112.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': False, 'injury_concern': False}",[],[],217.0,True,234.1
Brooklyn Nets,Orlando Magic,Brooklyn Nets @ Orlando Magic,207.5,125.9,144.7,270.6,99.0,1000,1000,100.0,267.0,15.5,241.2,246.8,257.0,277.7,286.6,291.7,YES,HIGH_DESPITE_FLAG,1,True,['🐢 Brooklyn Nets slow pace (97.5)'],112.0,122.8,117.8,114.5,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],203.0,False,227.5
Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets @ Milwaukee Bucks,212.7,135.9,140.0,275.9,99.7,1000,998,99.8,271.5,18.7,239.8,246.9,258.5,285.4,294.5,300.2,YES,HIGH_DESPITE_FLAG,1,True,['🎲 Milwaukee Bucks high variance (±12.8)'],116.4,120.7,115.1,117.9,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],281.0,True,232.7
Indiana Pacers,Cleveland Cavaliers,Indiana Pacers @ Cleveland Cavaliers,209.3,121.5,142.4,263.9,101.2,1000,996,99.6,260.0,19.2,227.4,234.3,247.0,274.5,283.2,289.8,YES,HIGH_DESPITE_FLAG,1,True,['🎲 Cleveland Cavaliers high variance (±12.8)'],107.5,119.5,116.5,112.6,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],229.0,True,229.3
Brooklyn Nets,Boston Celtics,Brooklyn Nets @ Boston Celtics,203.8,124.1,144.4,268.6,97.4,1000,999,99.9,264.3,16.4,236.5,241.7,252.6,276.3,284.6,288.4,YES,HIGH_DESPITE_FLAGS,2,True,"['🐢 BOTH teams slow pace (97.5 & 95.9)', '🎲 Boston Celtics high variance (±12.3)']",112.0,122.8,119.5,114.7,"{'slow_pace_game': True, 'both_slow_pace': True, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],218.0,True,223.8
Washington Wizards,Toronto Raptors,Washington Wizards @ Toronto Raptors,213.3,123.2,152.2,275.4,101.2,1000,999,99.9,269.8,15.7,244.4,248.9,259.4,280.4,289.8,293.5,STRONG_YES,ELITE,0,True,[],109.0,124.7,119.4,112.5,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],250.0,True,233.3
Miami Heat,Chicago Bulls,Miami Heat @ Chicago Bulls,225.2,142.6,135.0,277.5,103.6,1000,998,99.8,273.7,17.5,244.7,250.6,261.1,286.4,296.5,300.9,YES,HIGH_DESPITE_FLAG,1,True,['🎲 Miami Heat high variance (±13.3)'],116.7,111.1,115.9,118.7,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],250.0,True,245.2
